iteration,config,value,elapsed_time
0,"{'DATA': 3.595, ' ACAP': 4.858, ' AEXP': 2.024, ' CPLx': 1.283, ' DOCU': 4.389, ' ETAT': 3.707, ' FLEx': 4.583, ' KLOC': 240.276, ' LTEx': 1.686, ' PCAP': 3.392, ' PCON': 2.966, ' PLEx': 3.201, ' PMAT': 2.21, ' PREC': 1.099, ' PVOL': 3.366, ' RELY': 3.813, ' RESL': 2.548, ' RUSE': 4.207, ' SCED': 3.0, ' SITE': 4.257, ' STOR': 3.418, ' TEAM': 2.281, ' TIME': 3.654, ' TOOL': 2.0}",0.35882878581882705,1
1,"{'DATA': 2.71, ' ACAP': 3.962, ' AEXP': 3.714, ' CPLx': 1.598, ' DOCU': 3.899, ' ETAT': 5.596, ' FLEx': 4.837, ' KLOC': 15.945, ' LTEx': 1.313, ' PCAP': 3.615, ' PCON': 4.267, ' PLEx': 3.254, ' PMAT': 2.342, ' PREC': 1.012, ' PVOL': 3.932, ' RELY': 1.917, ' RESL': 3.251, ' RUSE': 2.375, ' SCED': 3.0, ' SITE': 5.912, ' STOR': 3.512, ' TEAM': 1.696, ' TIME': 3.055, ' TOOL': 2.0}",0.1595317948378765,1
2,"{'DATA': 3.205, ' ACAP': 4.94, ' AEXP': 4.12, ' CPLx': 3.719, ' DOCU': 2.455, ' ETAT': 1.018, ' FLEx': 3.834, ' KLOC': 391.764, ' LTEx': 3.413, ' PCAP': 4.698, ' PCON': 2.193, ' PLEx': 2.995, ' PMAT': 2.803, ' PREC': 1.131, ' PVOL': 4.763, ' RELY': 2.391, ' RESL': 3.542, ' RUSE': 4.045, ' SCED': 3.0, ' SITE': 1.483, ' STOR': 3.261, ' TEAM': 4.205, ' TIME': 3.892, ' TOOL': 2.0}",0.35715459223990864,1
3,"{'DATA': 2.69, ' ACAP': 3.088, ' AEXP': 3.434, ' CPLx': 3.622, ' DOCU': 3.128, ' ETAT': 2.965, ' FLEx': 4.586, ' KLOC': 126.976, ' LTEx': 3.107, ' PCAP': 4.655, ' PCON': 4.821, ' PLEx': 2.022, ' PMAT': 2.328, ' PREC': 3.002, ' PVOL': 2.784, ' RELY': 3.152, ' RESL': 4.805, ' RUSE': 2.211, ' SCED': 3.0, ' SITE': 1.424, ' STOR': 3.835, ' TEAM': 2.87, ' TIME': 3.447, ' TOOL': 2.0}",0.15950565014687557,1
4,"{'DATA': 2.78, ' ACAP': 4.219, ' AEXP': 2.628, ' CPLx': 2.997, ' DOCU': 2.242, ' ETAT': 5.589, ' FLEx': 4.667, ' KLOC': 317.002, ' LTEx': 1.046, ' PCAP': 4.288, ' PCON': 3.273, ' PLEx': 1.554, ' PMAT': 2.903, ' PREC': 2.611, ' PVOL': 3.907, ' RELY': 2.758, ' RESL': 2.968, ' RUSE': 3.063, ' SCED': 3.0, ' SITE': 1.081, ' STOR': 3.376, ' TEAM': 2.525, ' TIME': 3.098, ' TOOL': 2.0}",0.3359697667246242,1
5,"{'DATA': 2.095, ' ACAP': 4.948, ' AEXP': 3.62, ' CPLx': 3.779, ' DOCU': 3.253, ' ETAT': 2.711, ' FLEx': 3.479, ' KLOC': 71.867, ' LTEx': 1.971, ' PCAP': 4.984, ' PCON': 1.362, ' PLEx': 2.2, ' PMAT': 2.975, ' PREC': 1.988, ' PVOL': 3.425, ' RELY': 2.314, ' RESL': 1.862, ' RUSE': 2.64, ' SCED': 3.0, ' SITE': 4.06, ' STOR': 3.665, ' TEAM': 3.515, ' TIME': 3.029, ' TOOL': 2.0}",0.17684900033347906,1
6,"{'DATA': 3.036, ' ACAP': 4.63, ' AEXP': 2.025, ' CPLx': 2.293, ' DOCU': 3.104, ' ETAT': 3.489, ' FLEx': 2.486, ' KLOC': 183.688, ' LTEx': 1.731, ' PCAP': 3.458, ' PCON': 4.348, ' PLEx': 1.395, ' PMAT': 2.254, ' PREC': 1.439, ' PVOL': 2.936, ' RELY': 1.35, ' RESL': 1.09, ' RUSE': 5.447, ' SCED': 3.0, ' SITE': 5.709, ' STOR': 3.98, ' TEAM': 4.427, ' TIME': 3.858, ' TOOL': 2.0}",0.29907068304482154,1
7,"{'DATA': 2.371, ' ACAP': 4.039, ' AEXP': 2.022, ' CPLx': 3.929, ' DOCU': 4.487, ' ETAT': 5.291, ' FLEx': 4.289, ' KLOC': 281.932, ' LTEx': 2.958, ' PCAP': 4.023, ' PCON': 4.285, ' PLEx': 2.812, ' PMAT': 2.052, ' PREC': 2.193, ' PVOL': 4.768, ' RELY': 2.809, ' RESL': 4.253, ' RUSE': 4.711, ' SCED': 3.0, ' SITE': 1.058, ' STOR': 3.003, ' TEAM': 3.786, ' TIME': 3.268, ' TOOL': 2.0}",0.4075927611857314,1
8,"{'DATA': 4.695, ' ACAP': 3.02, ' AEXP': 4.422, ' CPLx': 3.457, ' DOCU': 1.924, ' ETAT': 2.881, ' FLEx': 3.367, ' KLOC': 353.61, ' LTEx': 2.518, ' PCAP': 3.472, ' PCON': 2.802, ' PLEx': 3.716, ' PMAT': 2.976, ' PREC': 3.151, ' PVOL': 4.81, ' RELY': 1.22, ' RESL': 1.639, ' RUSE': 3.337, ' SCED': 3.0, ' SITE': 2.607, ' STOR': 3.554, ' TEAM': 3.691, ' TIME': 3.969, ' TOOL': 2.0}",0.4110246698127129,1
9,"{'DATA': 4.145, ' ACAP': 4.159, ' AEXP': 2.249, ' CPLx': 2.353, ' DOCU': 3.071, ' ETAT': 1.491, ' FLEx': 1.598, ' KLOC': 44.237, ' LTEx': 2.268, ' PCAP': 3.846, ' PCON': 2.53, ' PLEx': 1.882, ' PMAT': 2.362, ' PREC': 2.812, ' PVOL': 3.975, ' RELY': 2.278, ' RESL': 2.418, ' RUSE': 2.556, ' SCED': 3.0, ' SITE': 5.862, ' STOR': 3.648, ' TEAM': 4.725, ' TIME': 3.116, ' TOOL': 2.0}",0.1127306348198911,1
