iteration,config,value,elapsed_time
0,"{'applicationDate': 20610714.0, 'Age': 46.0, 'CreditScore': 549.0, 'employmentStatus': 'Employed', 'educationLevel': 'Associate', 'maritalStatus': 'Divorced', 'NumberOfDependents': 2.0, 'homeOwnershipStatus': 'Mortgage', 'MonthlyDebtPayments': 225.0, 'CreditCardUtilizationRate': 0.25302564, 'NumberOfOpenCreditLines': 7.0, 'NumberOfCreditInquiries': 2.0, 'DebtToIncomeRatio': 0.641389533, 'BankruptcyHistory': 1.0, 'loanPurpose': 'Education', 'PreviousLoanDefaults': 1.0, 'PaymentHistory': 30.0, 'LengthOfCreditHistory': 16.0, 'SavingsAccountBalance': 2513.0, 'CheckingAccountBalance': 858.0, 'TotalAssets': 51133.0, 'TotalLiabilities': 11095.0, 'MonthlyIncome': 5469.583333, 'UtilityBillsPaymentHistory': 0.861548794, 'JobTenure': 5.0, 'NetWorth': 40038.0, 'BaseInterestRate': 0.277025, 'InterestRate': 0.290930365, 'MonthlyLoanPayment': 742.3193913, 'TotalDebtToIncomeRatio': 0.176854311, 'LoanApproved': 0.0}",0.8011803237505968,1
1,"{'applicationDate': 20491031.0, 'Age': 31.0, 'CreditScore': 543.0, 'employmentStatus': 'Unemployed', 'educationLevel': 'High School', 'maritalStatus': 'Married', 'NumberOfDependents': 0.0, 'homeOwnershipStatus': 'Rent', 'MonthlyDebtPayments': 959.0, 'CreditCardUtilizationRate': 0.191241891, 'NumberOfOpenCreditLines': 4.0, 'NumberOfCreditInquiries': 2.0, 'DebtToIncomeRatio': 0.181736467, 'BankruptcyHistory': 0.0, 'loanPurpose': 'Education', 'PreviousLoanDefaults': 0.0, 'PaymentHistory': 19.0, 'LengthOfCreditHistory': 25.0, 'SavingsAccountBalance': 18071.0, 'CheckingAccountBalance': 30383.0, 'TotalAssets': 94796.0, 'TotalLiabilities': 1632.0, 'MonthlyIncome': 3858.75, 'UtilityBillsPaymentHistory': 0.848808261, 'JobTenure': 6.0, 'NetWorth': 93164.0, 'BaseInterestRate': 0.271861, 'InterestRate': 0.318575153, 'MonthlyLoanPayment': 2537.264802, 'TotalDebtToIncomeRatio': 0.906061497, 'LoanApproved': 0.0}",0.6902956137227703,1
2,"{'applicationDate': 20251018.0, 'Age': 29.0, 'CreditScore': 548.0, 'employmentStatus': 'Employed', 'educationLevel': 'Bachelor', 'maritalStatus': 'Married', 'NumberOfDependents': 2.0, 'homeOwnershipStatus': 'Mortgage', 'MonthlyDebtPayments': 341.0, 'CreditCardUtilizationRate': 0.670544757, 'NumberOfOpenCreditLines': 3.0, 'NumberOfCreditInquiries': 1.0, 'DebtToIncomeRatio': 0.372965305, 'BankruptcyHistory': 0.0, 'loanPurpose': 'Education', 'PreviousLoanDefaults': 0.0, 'PaymentHistory': 27.0, 'LengthOfCreditHistory': 28.0, 'SavingsAccountBalance': 11208.0, 'CheckingAccountBalance': 3628.0, 'TotalAssets': 14836.0, 'TotalLiabilities': 267059.0, 'MonthlyIncome': 4688.583333, 'UtilityBillsPaymentHistory': 0.657595538, 'JobTenure': 6.0, 'NetWorth': 10603.0, 'BaseInterestRate': 0.251432, 'InterestRate': 0.244754281, 'MonthlyLoanPayment': 1596.373125, 'TotalDebtToIncomeRatio': 0.413210769, 'LoanApproved': 0.0}",0.717294858515293,1
3,"{'applicationDate': 20200419.0, 'Age': 37.0, 'CreditScore': 503.0, 'employmentStatus': 'Employed', 'educationLevel': 'High School', 'maritalStatus': 'Single', 'NumberOfDependents': 2.0, 'homeOwnershipStatus': 'Rent', 'MonthlyDebtPayments': 132.0, 'CreditCardUtilizationRate': 0.454735273, 'NumberOfOpenCreditLines': 3.0, 'NumberOfCreditInquiries': 0.0, 'DebtToIncomeRatio': 0.423805247, 'BankruptcyHistory': 0.0, 'loanPurpose': 'Education', 'PreviousLoanDefaults': 0.0, 'PaymentHistory': 28.0, 'LengthOfCreditHistory': 29.0, 'SavingsAccountBalance': 1623.0, 'CheckingAccountBalance': 368.0, 'TotalAssets': 105416.0, 'TotalLiabilities': 425546.0, 'MonthlyIncome': 5926.5, 'UtilityBillsPaymentHistory': 0.817732115, 'JobTenure': 8.0, 'NetWorth': 9112.0, 'BaseInterestRate': 0.266502, 'InterestRate': 0.271147452, 'MonthlyLoanPayment': 397.9125122, 'TotalDebtToIncomeRatio': 0.089414074, 'LoanApproved': 1.0}",0.7119054813104345,1
4,"{'applicationDate': 20510221.0, 'Age': 45.0, 'CreditScore': 512.0, 'employmentStatus': 'Employed', 'educationLevel': 'Associate', 'maritalStatus': 'Married', 'NumberOfDependents': 0.0, 'homeOwnershipStatus': 'Own', 'MonthlyDebtPayments': 750.0, 'CreditCardUtilizationRate': 0.48181548, 'NumberOfOpenCreditLines': 7.0, 'NumberOfCreditInquiries': 2.0, 'DebtToIncomeRatio': 0.334476634, 'BankruptcyHistory': 1.0, 'loanPurpose': 'Home', 'PreviousLoanDefaults': 0.0, 'PaymentHistory': 22.0, 'LengthOfCreditHistory': 25.0, 'SavingsAccountBalance': 3345.0, 'CheckingAccountBalance': 1945.0, 'TotalAssets': 37426.0, 'TotalLiabilities': 48681.0, 'MonthlyIncome': 2913.166667, 'UtilityBillsPaymentHistory': 0.660245078, 'JobTenure': 7.0, 'NetWorth': 2675.0, 'BaseInterestRate': 0.257195, 'InterestRate': 0.266017116, 'MonthlyLoanPayment': 619.6618227, 'TotalDebtToIncomeRatio': 0.470162534, 'LoanApproved': 0.0}",0.7438346135804572,1
5,"{'applicationDate': 20440908.0, 'Age': 26.0, 'CreditScore': 469.0, 'employmentStatus': 'Employed', 'educationLevel': 'Associate', 'maritalStatus': 'Married', 'NumberOfDependents': 4.0, 'homeOwnershipStatus': 'Rent', 'MonthlyDebtPayments': 451.0, 'CreditCardUtilizationRate': 0.107941141, 'NumberOfOpenCreditLines': 5.0, 'NumberOfCreditInquiries': 2.0, 'DebtToIncomeRatio': 0.330057331, 'BankruptcyHistory': 1.0, 'loanPurpose': 'Home', 'PreviousLoanDefaults': 0.0, 'PaymentHistory': 25.0, 'LengthOfCreditHistory': 11.0, 'SavingsAccountBalance': 8981.0, 'CheckingAccountBalance': 790.0, 'TotalAssets': 73916.0, 'TotalLiabilities': 19040.0, 'MonthlyIncome': 6589.916667, 'UtilityBillsPaymentHistory': 0.76570712, 'JobTenure': 7.0, 'NetWorth': 54876.0, 'BaseInterestRate': 0.263008, 'InterestRate': 0.260093614, 'MonthlyLoanPayment': 1212.715026, 'TotalDebtToIncomeRatio': 0.252463743, 'LoanApproved': 0.0}",0.7548673789244141,1
6,"{'applicationDate': 20540201.0, 'Age': 42.0, 'CreditScore': 529.0, 'employmentStatus': 'Employed', 'educationLevel': 'High School', 'maritalStatus': 'Married', 'NumberOfDependents': 2.0, 'homeOwnershipStatus': 'Other', 'MonthlyDebtPayments': 331.0, 'CreditCardUtilizationRate': 0.448597293, 'NumberOfOpenCreditLines': 2.0, 'NumberOfCreditInquiries': 1.0, 'DebtToIncomeRatio': 0.425179272, 'BankruptcyHistory': 0.0, 'loanPurpose': 'Home', 'PreviousLoanDefaults': 0.0, 'PaymentHistory': 31.0, 'LengthOfCreditHistory': 17.0, 'SavingsAccountBalance': 5212.0, 'CheckingAccountBalance': 10749.0, 'TotalAssets': 92051.0, 'TotalLiabilities': 57808.0, 'MonthlyIncome': 6711.916667, 'UtilityBillsPaymentHistory': 0.805508677, 'JobTenure': 8.0, 'NetWorth': 34243.0, 'BaseInterestRate': 0.240976, 'InterestRate': 0.1927808, 'MonthlyLoanPayment': 753.4506347, 'TotalDebtToIncomeRatio': 0.161570932, 'LoanApproved': 1.0}",0.6522452168559352,1
7,"{'applicationDate': 20260401.0, 'Age': 24.0, 'CreditScore': 556.0, 'employmentStatus': 'Employed', 'educationLevel': 'Bachelor', 'maritalStatus': 'Married', 'NumberOfDependents': 5.0, 'homeOwnershipStatus': 'Own', 'MonthlyDebtPayments': 267.0, 'CreditCardUtilizationRate': 0.330019557, 'NumberOfOpenCreditLines': 2.0, 'NumberOfCreditInquiries': 3.0, 'DebtToIncomeRatio': 0.279176051, 'BankruptcyHistory': 0.0, 'loanPurpose': 'Home', 'PreviousLoanDefaults': 0.0, 'PaymentHistory': 18.0, 'LengthOfCreditHistory': 8.0, 'SavingsAccountBalance': 5189.0, 'CheckingAccountBalance': 825.0, 'TotalAssets': 33188.0, 'TotalLiabilities': 354314.0, 'MonthlyIncome': 4679.416667, 'UtilityBillsPaymentHistory': 0.862630666, 'JobTenure': 5.0, 'NetWorth': 8520.0, 'BaseInterestRate': 0.352733, 'InterestRate': 0.308907037, 'MonthlyLoanPayment': 4136.946356, 'TotalDebtToIncomeRatio': 0.941131485, 'LoanApproved': 0.0}",0.6824333830142856,1
8,"{'applicationDate': 20460330.0, 'Age': 50.0, 'CreditScore': 588.0, 'employmentStatus': 'Employed', 'educationLevel': 'Master', 'maritalStatus': 'Single', 'NumberOfDependents': 1.0, 'homeOwnershipStatus': 'Rent', 'MonthlyDebtPayments': 615.0, 'CreditCardUtilizationRate': 0.018256667, 'NumberOfOpenCreditLines': 7.0, 'NumberOfCreditInquiries': 0.0, 'DebtToIncomeRatio': 0.335625851, 'BankruptcyHistory': 0.0, 'loanPurpose': 'Auto', 'PreviousLoanDefaults': 0.0, 'PaymentHistory': 27.0, 'LengthOfCreditHistory': 12.0, 'SavingsAccountBalance': 4951.0, 'CheckingAccountBalance': 2582.0, 'TotalAssets': 97058.0, 'TotalLiabilities': 731375.0, 'MonthlyIncome': 2789.916667, 'UtilityBillsPaymentHistory': 0.608978359, 'JobTenure': 6.0, 'NetWorth': 10690.0, 'BaseInterestRate': 0.245167, 'InterestRate': 0.276433994, 'MonthlyLoanPayment': 3510.380872, 'TotalDebtToIncomeRatio': 1.478675303, 'LoanApproved': 0.0}",0.6075195228556958,1
9,"{'applicationDate': 20310406.0, 'Age': 38.0, 'CreditScore': 517.0, 'employmentStatus': 'Employed', 'educationLevel': 'Associate', 'maritalStatus': 'Divorced', 'NumberOfDependents': 3.0, 'homeOwnershipStatus': 'Mortgage', 'MonthlyDebtPayments': 253.0, 'CreditCardUtilizationRate': 0.350894727, 'NumberOfOpenCreditLines': 3.0, 'NumberOfCreditInquiries': 2.0, 'DebtToIncomeRatio': 0.679683812, 'BankruptcyHistory': 1.0, 'loanPurpose': 'Other', 'PreviousLoanDefaults': 0.0, 'PaymentHistory': 26.0, 'LengthOfCreditHistory': 16.0, 'SavingsAccountBalance': 2053.0, 'CheckingAccountBalance': 3100.0, 'TotalAssets': 78321.0, 'TotalLiabilities': 12084.0, 'MonthlyIncome': 2498.5, 'UtilityBillsPaymentHistory': 0.799558401, 'JobTenure': 10.0, 'NetWorth': 66237.0, 'BaseInterestRate': 0.252789, 'InterestRate': 0.247656619, 'MonthlyLoanPayment': 1041.990603, 'TotalDebtToIncomeRatio': 0.518307226, 'LoanApproved': 0.0}",0.765342911776104,1
