iteration,config,value,elapsed_time
0,"{'Fixedacidity': 9.9, 'Volatileacidity': 0.35, 'Citricacid': 0.38, 'Residualsugar': 1.5, 'CL': 0.058, 'FreeSO2': 31.0, 'TotalS02': 47.0, 'Density': 0.99676, 'PH': 3.26, 'Sulphates': 0.82}",0.27798939999373307,1
1,"{'Fixedacidity': 7.2, 'Volatileacidity': 0.73, 'Citricacid': 0.02, 'Residualsugar': 2.5, 'CL': 0.076, 'FreeSO2': 16.0, 'TotalS02': 42.0, 'Density': 0.9972, 'PH': 3.44, 'Sulphates': 0.52}",0.43541451378722784,1
2,"{'Fixedacidity': 5.0, 'Volatileacidity': 0.42, 'Citricacid': 0.24, 'Residualsugar': 2.0, 'CL': 0.06, 'FreeSO2': 19.0, 'TotalS02': 50.0, 'Density': 0.9917, 'PH': 3.72, 'Sulphates': 0.74}",0.6091996884068717,1
3,"{'Fixedacidity': 7.8, 'Volatileacidity': 0.53, 'Citricacid': 0.01, 'Residualsugar': 1.6, 'CL': 0.077, 'FreeSO2': 3.0, 'TotalS02': 19.0, 'Density': 0.995, 'PH': 3.16, 'Sulphates': 0.46}",0.45077185612257265,1
4,"{'Fixedacidity': 7.0, 'Volatileacidity': 0.58, 'Citricacid': 0.28, 'Residualsugar': 4.8, 'CL': 0.085, 'FreeSO2': 12.0, 'TotalS02': 69.0, 'Density': 0.99633, 'PH': 3.32, 'Sulphates': 0.7}",0.3999999999999999,1
5,"{'Fixedacidity': 7.5, 'Volatileacidity': 1.115, 'Citricacid': 0.1, 'Residualsugar': 3.1, 'CL': 0.086, 'FreeSO2': 5.0, 'TotalS02': 12.0, 'Density': 0.9958, 'PH': 3.54, 'Sulphates': 0.6}",0.6424804005483415,1
6,"{'Fixedacidity': 10.9, 'Volatileacidity': 0.39, 'Citricacid': 0.47, 'Residualsugar': 1.8, 'CL': 0.118, 'FreeSO2': 6.0, 'TotalS02': 14.0, 'Density': 0.9982, 'PH': 3.3, 'Sulphates': 0.75}",0.3212402002741708,1
7,"{'Fixedacidity': 7.2, 'Volatileacidity': 0.62, 'Citricacid': 0.06, 'Residualsugar': 2.7, 'CL': 0.077, 'FreeSO2': 15.0, 'TotalS02': 85.0, 'Density': 0.99746, 'PH': 3.51, 'Sulphates': 0.54}",0.4408168855967508,1
8,"{'Fixedacidity': 8.5, 'Volatileacidity': 0.47, 'Citricacid': 0.27, 'Residualsugar': 1.9, 'CL': 0.058, 'FreeSO2': 18.0, 'TotalS02': 38.0, 'Density': 0.99518, 'PH': 3.16, 'Sulphates': 0.85}",0.4077648701753406,1
9,"{'Fixedacidity': 15.0, 'Volatileacidity': 0.21, 'Citricacid': 0.44, 'Residualsugar': 2.2, 'CL': 0.075, 'FreeSO2': 10.0, 'TotalS02': 24.0, 'Density': 1.00005, 'PH': 3.07, 'Sulphates': 0.84}",0.16605410111479146,1
10,"{'Fixedacidity': 8.8, 'Volatileacidity': 0.6, 'Citricacid': 0.29, 'Residualsugar': 2.2, 'CL': 0.098, 'FreeSO2': 5.0, 'TotalS02': 15.0, 'Density': 0.9988, 'PH': 3.36, 'Sulphates': 0.49}",0.43104386849605847,1
11,"{'Fixedacidity': 7.3, 'Volatileacidity': 0.43, 'Citricacid': 0.24, 'Residualsugar': 2.5, 'CL': 0.078, 'FreeSO2': 27.0, 'TotalS02': 67.0, 'Density': 0.99648, 'PH': 3.6, 'Sulphates': 0.59}",0.4077648701753406,1
12,"{'Fixedacidity': 6.5, 'Volatileacidity': 0.53, 'Citricacid': 0.06, 'Residualsugar': 2.0, 'CL': 0.063, 'FreeSO2': 29.0, 'TotalS02': 44.0, 'Density': 0.99489, 'PH': 3.38, 'Sulphates': 0.83}",0.35031684728417545,1
13,"{'Fixedacidity': 10.2, 'Volatileacidity': 0.645, 'Citricacid': 0.36, 'Residualsugar': 1.8, 'CL': 0.053, 'FreeSO2': 5.0, 'TotalS02': 14.0, 'Density': 0.9982, 'PH': 3.17, 'Sulphates': 0.42}",0.33210820222958315,1
14,"{'Fixedacidity': 7.8, 'Volatileacidity': 0.43, 'Citricacid': 0.7, 'Residualsugar': 1.9, 'CL': 0.464, 'FreeSO2': 22.0, 'TotalS02': 67.0, 'Density': 0.9974, 'PH': 3.13, 'Sulphates': 1.28}",0.4379889490919002,1
15,"{'Fixedacidity': 6.1, 'Volatileacidity': 0.48, 'Citricacid': 0.09, 'Residualsugar': 1.7, 'CL': 0.078, 'FreeSO2': 18.0, 'TotalS02': 30.0, 'Density': 0.99402, 'PH': 3.45, 'Sulphates': 0.54}",0.4156694180340399,1
16,"{'Fixedacidity': 6.7, 'Volatileacidity': 0.64, 'Citricacid': 0.23, 'Residualsugar': 2.1, 'CL': 0.08, 'FreeSO2': 11.0, 'TotalS02': 119.0, 'Density': 0.99538, 'PH': 3.36, 'Sulphates': 0.7}",0.5039489032048985,1
17,"{'Fixedacidity': 8.9, 'Volatileacidity': 0.22, 'Citricacid': 0.48, 'Residualsugar': 1.8, 'CL': 0.077, 'FreeSO2': 29.0, 'TotalS02': 60.0, 'Density': 0.9968, 'PH': 3.39, 'Sulphates': 0.53}",0.30304177851680325,1
18,"{'Fixedacidity': 7.7, 'Volatileacidity': 0.26, 'Citricacid': 0.3, 'Residualsugar': 1.7, 'CL': 0.059, 'FreeSO2': 20.0, 'TotalS02': 38.0, 'Density': 0.9949, 'PH': 3.29, 'Sulphates': 0.47}",0.38492295394451714,1
19,"{'Fixedacidity': 6.1, 'Volatileacidity': 0.715, 'Citricacid': 0.1, 'Residualsugar': 2.6, 'CL': 0.053, 'FreeSO2': 13.0, 'TotalS02': 27.0, 'Density': 0.99362, 'PH': 3.57, 'Sulphates': 0.5}",0.5700617634968894,1
