iteration,config,value,elapsed_time
0,"{' ACAP': 3, ' ARCH': 2, ' CPLx': 2, ' DATA': 4, ' DOCU': 4, ' FLEx': 3, ' LTEx': 2, ' PCAP': 3, ' PCON': 5, ' PMAT': 2, ' PREC': 2, ' PVOL': 5, ' RELY': 3, ' RUSE': 5, ' SCED': 3, ' SITE': 4, ' STOR': 3, ' TEAM': 2, ' TIME': 4, ' TOOL': 4}",0.30659826273607804,1
1,"{' ACAP': 4, ' ARCH': 2, ' CPLx': 3, ' DATA': 3, ' DOCU': 3, ' FLEx': 5, ' LTEx': 5, ' PCAP': 1, ' PCON': 4, ' PMAT': 5, ' PREC': 2, ' PVOL': 3, ' RELY': 2, ' RUSE': 3, ' SCED': 3, ' SITE': 3, ' STOR': 5, ' TEAM': 2, ' TIME': 5, ' TOOL': 2}",0.6135068497756598,1
2,"{' ACAP': 2, ' ARCH': 2, ' CPLx': 4, ' DATA': 4, ' DOCU': 2, ' FLEx': 4, ' LTEx': 3, ' PCAP': 3, ' PCON': 3, ' PMAT': 4, ' PREC': 4, ' PVOL': 3, ' RELY': 5, ' RUSE': 5, ' SCED': 2, ' SITE': 4, ' STOR': 5, ' TEAM': 4, ' TIME': 4, ' TOOL': 4}",0.4736255793688988,1
3,"{' ACAP': 5, ' ARCH': 5, ' CPLx': 4, ' DATA': 3, ' DOCU': 4, ' FLEx': 3, ' LTEx': 4, ' PCAP': 3, ' PCON': 2, ' PMAT': 2, ' PREC': 2, ' PVOL': 5, ' RELY': 3, ' RUSE': 5, ' SCED': 5, ' SITE': 4, ' STOR': 4, ' TEAM': 3, ' TIME': 6, ' TOOL': 2}",0.4304695566522323,1
4,"{' ACAP': 4, ' ARCH': 2, ' CPLx': 5, ' DATA': 2, ' DOCU': 5, ' FLEx': 2, ' LTEx': 1, ' PCAP': 3, ' PCON': 3, ' PMAT': 3, ' PREC': 4, ' PVOL': 4, ' RELY': 4, ' RUSE': 5, ' SCED': 2, ' SITE': 4, ' STOR': 3, ' TEAM': 4, ' TIME': 5, ' TOOL': 2}",0.3466064607984123,1
5,"{' ACAP': 2, ' ARCH': 4, ' CPLx': 2, ' DATA': 3, ' DOCU': 2, ' FLEx': 5, ' LTEx': 3, ' PCAP': 3, ' PCON': 2, ' PMAT': 1, ' PREC': 3, ' PVOL': 3, ' RELY': 3, ' RUSE': 5, ' SCED': 2, ' SITE': 2, ' STOR': 5, ' TEAM': 5, ' TIME': 5, ' TOOL': 3}",0.5276765276096571,1
6,"{' ACAP': 3, ' ARCH': 5, ' CPLx': 3, ' DATA': 3, ' DOCU': 4, ' FLEx': 4, ' LTEx': 5, ' PCAP': 3, ' PCON': 3, ' PMAT': 3, ' PREC': 4, ' PVOL': 4, ' RELY': 2, ' RUSE': 6, ' SCED': 4, ' SITE': 4, ' STOR': 4, ' TEAM': 5, ' TIME': 4, ' TOOL': 2}",0.5172479396255845,1
7,"{' ACAP': 4, ' ARCH': 4, ' CPLx': 5, ' DATA': 4, ' DOCU': 5, ' FLEx': 3, ' LTEx': 2, ' PCAP': 3, ' PCON': 4, ' PMAT': 3, ' PREC': 3, ' PVOL': 4, ' RELY': 2, ' RUSE': 3, ' SCED': 4, ' SITE': 3, ' STOR': 5, ' TEAM': 3, ' TIME': 3, ' TOOL': 5}",0.3806312115699122,1
8,"{' ACAP': 3, ' ARCH': 1, ' CPLx': 3, ' DATA': 3, ' DOCU': 2, ' FLEx': 4, ' LTEx': 3, ' PCAP': 3, ' PCON': 2, ' PMAT': 3, ' PREC': 2, ' PVOL': 2, ' RELY': 4, ' RUSE': 5, ' SCED': 2, ' SITE': 2, ' STOR': 3, ' TEAM': 5, ' TIME': 6, ' TOOL': 2}",0.4713012585474826,1
9,"{' ACAP': 2, ' ARCH': 1, ' CPLx': 6, ' DATA': 5, ' DOCU': 3, ' FLEx': 3, ' LTEx': 2, ' PCAP': 4, ' PCON': 2, ' PMAT': 5, ' PREC': 3, ' PVOL': 4, ' RELY': 4, ' RUSE': 5, ' SCED': 5, ' SITE': 2, ' STOR': 6, ' TEAM': 2, ' TIME': 5, ' TOOL': 3}",0.4986528399263497,1
