iteration,config,value,elapsed_time
0,"{'ID': 1458, 'MSSUBCLASS': 70, 'mszoning': 'RL', 'LOTFRONTAGE': 66.0, 'LOTAREA': 9042, 'street': 'Pave', 'alley': 'Unknown', 'lotshape': 'Reg', 'landcontour': 'Lvl', 'utilities': 'AllPub', 'lotconfig': 'Inside', 'landslope': 'Gtl', 'neighborhood': 'Crawfor', 'condition1': 'Norm', 'condition2': 'Norm', 'bldgtype': '1Fam', 'housestyle': '2Story', 'YEARREMODADD': 2006, 'roofstyle': 'Gable', 'roofmatl': 'CompShg', 'exterior1st': 'CemntBd', 'exterior2nd': 'CmentBd', 'masvnrtype': 'Unknown', 'MASVNRAREA': 0.0, 'exterqual': 'Ex', 'extercond': 'Gd', 'foundation': 'Stone', 'bsmtqual': 'TA', 'bsmtcond': 'Gd', 'bsmtexposure': 'No', 'bsmtfintype1': 'GLQ', 'BSMTFINSF1': 275, 'bsmtfintype2': 'Unf', 'BSMTFINSF2': 0, 'BSMTUNFSF': 877, 'TOTALBSMTSF': 1152, 'heating': 'GasA', 'heatingqc': 'Ex', 'centralair': 'Y', 'electrical': 'SBrkr', '1STFLRSF': 1188, '2NDFLRSF': 1152, 'LOWQUALFINSF': 0, 'GRLIVAREA': 2340, 'BSMTFULLBATH': 0, 'BSMTHALFBATH': 0, 'FULLBATH': 2, 'HALFBATH': 0, 'BEDROOMABVGR': 4, 'KITCHENABVGR': 1, 'kitchenqual': 'Gd', 'TOTRMSABVGRD': 9, 'functional': 'Typ', 'FIREPLACES': 2, 'fireplacequ': 'Gd', 'garagetype': 'Attchd', 'GARAGEYRBLT': 1941.0, 'garagefinish': 'RFn', 'GARAGECARS': 1, 'GARAGEAREA': 252, 'garagequal': 'TA', 'garagecond': 'TA', 'paveddrive': 'Y', 'WOODDECKSF': 0, 'OPENPORCHSF': 60, 'ENCLOSEDPORCH': 0, '3SSNPORCH': 0, 'SCREENPORCH': 0, 'POOLAREA': 0, 'poolqc': 'Unknown', 'fence': 'GdPrv', 'miscfeature': 'Shed', 'MISCVAL': 2500, 'MOSOLD': 5, 'YRSOLD': 2010, 'saletype': 'WD', 'salecondition': 'Normal'}",0.4531301761470369,1
1,"{'ID': 1387, 'MSSUBCLASS': 60, 'mszoning': 'RL', 'LOTFRONTAGE': 80.0, 'LOTAREA': 16692, 'street': 'Pave', 'alley': 'Unknown', 'lotshape': 'IR1', 'landcontour': 'Lvl', 'utilities': 'AllPub', 'lotconfig': 'Inside', 'landslope': 'Gtl', 'neighborhood': 'NWAmes', 'condition1': 'RRAn', 'condition2': 'Norm', 'bldgtype': '1Fam', 'housestyle': '2Story', 'YEARREMODADD': 1978, 'roofstyle': 'Gable', 'roofmatl': 'CompShg', 'exterior1st': 'Plywood', 'exterior2nd': 'Plywood', 'masvnrtype': 'BrkFace', 'MASVNRAREA': 184.0, 'exterqual': 'TA', 'extercond': 'TA', 'foundation': 'CBlock', 'bsmtqual': 'Gd', 'bsmtcond': 'TA', 'bsmtexposure': 'No', 'bsmtfintype1': 'BLQ', 'BSMTFINSF1': 790, 'bsmtfintype2': 'LwQ', 'BSMTFINSF2': 469, 'BSMTUNFSF': 133, 'TOTALBSMTSF': 1392, 'heating': 'GasA', 'heatingqc': 'TA', 'centralair': 'Y', 'electrical': 'SBrkr', '1STFLRSF': 1392, '2NDFLRSF': 1392, 'LOWQUALFINSF': 0, 'GRLIVAREA': 2784, 'BSMTFULLBATH': 1, 'BSMTHALFBATH': 0, 'FULLBATH': 3, 'HALFBATH': 1, 'BEDROOMABVGR': 5, 'KITCHENABVGR': 1, 'kitchenqual': 'Gd', 'TOTRMSABVGRD': 12, 'functional': 'Typ', 'FIREPLACES': 2, 'fireplacequ': 'TA', 'garagetype': 'Attchd', 'GARAGEYRBLT': 1978.0, 'garagefinish': 'RFn', 'GARAGECARS': 2, 'GARAGEAREA': 564, 'garagequal': 'TA', 'garagecond': 'TA', 'paveddrive': 'Y', 'WOODDECKSF': 0, 'OPENPORCHSF': 112, 'ENCLOSEDPORCH': 0, '3SSNPORCH': 0, 'SCREENPORCH': 440, 'POOLAREA': 519, 'poolqc': 'Fa', 'fence': 'MnPrv', 'miscfeature': 'TenC', 'MISCVAL': 2000, 'MOSOLD': 7, 'YRSOLD': 2006, 'saletype': 'WD', 'salecondition': 'Normal'}",0.6006086416420472,1
2,"{'ID': 849, 'MSSUBCLASS': 50, 'mszoning': 'RL', 'LOTFRONTAGE': 75.0, 'LOTAREA': 45600, 'street': 'Pave', 'alley': 'Unknown', 'lotshape': 'IR2', 'landcontour': 'Bnk', 'utilities': 'AllPub', 'lotconfig': 'Inside', 'landslope': 'Gtl', 'neighborhood': 'ClearCr', 'condition1': 'Norm', 'condition2': 'Norm', 'bldgtype': '1Fam', 'housestyle': '1.5Fin', 'YEARREMODADD': 1997, 'roofstyle': 'Gable', 'roofmatl': 'CompShg', 'exterior1st': 'Wd Sdng', 'exterior2nd': 'Wd Sdng', 'masvnrtype': 'Unknown', 'MASVNRAREA': 0.0, 'exterqual': 'TA', 'extercond': 'TA', 'foundation': 'BrkTil', 'bsmtqual': 'TA', 'bsmtcond': 'TA', 'bsmtexposure': 'No', 'bsmtfintype1': 'Unf', 'BSMTFINSF1': 0, 'bsmtfintype2': 'Unf', 'BSMTFINSF2': 0, 'BSMTUNFSF': 907, 'TOTALBSMTSF': 907, 'heating': 'GasA', 'heatingqc': 'TA', 'centralair': 'Y', 'electrical': 'SBrkr', '1STFLRSF': 1307, '2NDFLRSF': 1051, 'LOWQUALFINSF': 0, 'GRLIVAREA': 2358, 'BSMTFULLBATH': 0, 'BSMTHALFBATH': 0, 'FULLBATH': 3, 'HALFBATH': 0, 'BEDROOMABVGR': 5, 'KITCHENABVGR': 1, 'kitchenqual': 'TA', 'TOTRMSABVGRD': 10, 'functional': 'Typ', 'FIREPLACES': 1, 'fireplacequ': 'Gd', 'garagetype': 'Detchd', 'GARAGEYRBLT': 1908.0, 'garagefinish': 'Unf', 'GARAGECARS': 2, 'GARAGEAREA': 360, 'garagequal': 'Fa', 'garagecond': 'TA', 'paveddrive': 'Y', 'WOODDECKSF': 486, 'OPENPORCHSF': 40, 'ENCLOSEDPORCH': 0, '3SSNPORCH': 0, 'SCREENPORCH': 175, 'POOLAREA': 0, 'poolqc': 'Unknown', 'fence': 'Unknown', 'miscfeature': 'Unknown', 'MISCVAL': 0, 'MOSOLD': 9, 'YRSOLD': 2008, 'saletype': 'WD', 'salecondition': 'Normal'}",0.44516542035906825,1
3,"{'ID': 114, 'MSSUBCLASS': 20, 'mszoning': 'RL', 'LOTFRONTAGE': 70.04995837, 'LOTAREA': 21000, 'street': 'Pave', 'alley': 'Unknown', 'lotshape': 'Reg', 'landcontour': 'Bnk', 'utilities': 'AllPub', 'lotconfig': 'Corner', 'landslope': 'Gtl', 'neighborhood': 'Crawfor', 'condition1': 'Norm', 'condition2': 'Norm', 'bldgtype': '1Fam', 'housestyle': '1Story', 'YEARREMODADD': 1953, 'roofstyle': 'Hip', 'roofmatl': 'CompShg', 'exterior1st': 'Wd Sdng', 'exterior2nd': 'Wd Sdng', 'masvnrtype': 'BrkFace', 'MASVNRAREA': 184.0, 'exterqual': 'TA', 'extercond': 'Gd', 'foundation': 'CBlock', 'bsmtqual': 'Gd', 'bsmtcond': 'TA', 'bsmtexposure': 'Mn', 'bsmtfintype1': 'ALQ', 'BSMTFINSF1': 35, 'bsmtfintype2': 'Rec', 'BSMTFINSF2': 869, 'BSMTUNFSF': 905, 'TOTALBSMTSF': 1809, 'heating': 'GasA', 'heatingqc': 'TA', 'centralair': 'Y', 'electrical': 'SBrkr', '1STFLRSF': 2259, '2NDFLRSF': 0, 'LOWQUALFINSF': 0, 'GRLIVAREA': 2259, 'BSMTFULLBATH': 1, 'BSMTHALFBATH': 0, 'FULLBATH': 2, 'HALFBATH': 0, 'BEDROOMABVGR': 3, 'KITCHENABVGR': 1, 'kitchenqual': 'Gd', 'TOTRMSABVGRD': 7, 'functional': 'Typ', 'FIREPLACES': 2, 'fireplacequ': 'Gd', 'garagetype': 'Basment', 'GARAGEYRBLT': 1953.0, 'garagefinish': 'Unf', 'GARAGECARS': 2, 'GARAGEAREA': 450, 'garagequal': 'TA', 'garagecond': 'TA', 'paveddrive': 'Y', 'WOODDECKSF': 166, 'OPENPORCHSF': 120, 'ENCLOSEDPORCH': 192, '3SSNPORCH': 0, 'SCREENPORCH': 0, 'POOLAREA': 0, 'poolqc': 'Unknown', 'fence': 'MnPrv', 'miscfeature': 'Unknown', 'MISCVAL': 0, 'MOSOLD': 10, 'YRSOLD': 2007, 'saletype': 'COD', 'salecondition': 'Abnorml'}",0.5809980227078717,1
4,"{'ID': 458, 'MSSUBCLASS': 20, 'mszoning': 'RL', 'LOTFRONTAGE': 70.04995837, 'LOTAREA': 53227, 'street': 'Pave', 'alley': 'Unknown', 'lotshape': 'IR1', 'landcontour': 'Low', 'utilities': 'AllPub', 'lotconfig': 'CulDSac', 'landslope': 'Mod', 'neighborhood': 'ClearCr', 'condition1': 'Norm', 'condition2': 'Norm', 'bldgtype': '1Fam', 'housestyle': '1Story', 'YEARREMODADD': 1994, 'roofstyle': 'Flat', 'roofmatl': 'Tar&Grv', 'exterior1st': 'Plywood', 'exterior2nd': 'Plywood', 'masvnrtype': 'Unknown', 'MASVNRAREA': 0.0, 'exterqual': 'TA', 'extercond': 'TA', 'foundation': 'CBlock', 'bsmtqual': 'Gd', 'bsmtcond': 'TA', 'bsmtexposure': 'Gd', 'bsmtfintype1': 'BLQ', 'BSMTFINSF1': 1116, 'bsmtfintype2': 'Unf', 'BSMTFINSF2': 0, 'BSMTUNFSF': 248, 'TOTALBSMTSF': 1364, 'heating': 'GasA', 'heatingqc': 'Ex', 'centralair': 'Y', 'electrical': 'SBrkr', '1STFLRSF': 1663, '2NDFLRSF': 0, 'LOWQUALFINSF': 0, 'GRLIVAREA': 1663, 'BSMTFULLBATH': 1, 'BSMTHALFBATH': 0, 'FULLBATH': 1, 'HALFBATH': 0, 'BEDROOMABVGR': 2, 'KITCHENABVGR': 1, 'kitchenqual': 'Gd', 'TOTRMSABVGRD': 6, 'functional': 'Min1', 'FIREPLACES': 2, 'fireplacequ': 'Gd', 'garagetype': 'Attchd', 'GARAGEYRBLT': 1954.0, 'garagefinish': 'Fin', 'GARAGECARS': 2, 'GARAGEAREA': 529, 'garagequal': 'TA', 'garagecond': 'TA', 'paveddrive': 'Y', 'WOODDECKSF': 224, 'OPENPORCHSF': 137, 'ENCLOSEDPORCH': 0, '3SSNPORCH': 0, 'SCREENPORCH': 0, 'POOLAREA': 0, 'poolqc': 'Unknown', 'fence': 'Unknown', 'miscfeature': 'Unknown', 'MISCVAL': 0, 'MOSOLD': 3, 'YRSOLD': 2008, 'saletype': 'WD', 'salecondition': 'Normal'}",0.5954702209344096,1
5,"{'ID': 770, 'MSSUBCLASS': 60, 'mszoning': 'RL', 'LOTFRONTAGE': 47.0, 'LOTAREA': 53504, 'street': 'Pave', 'alley': 'Unknown', 'lotshape': 'IR2', 'landcontour': 'HLS', 'utilities': 'AllPub', 'lotconfig': 'CulDSac', 'landslope': 'Mod', 'neighborhood': 'StoneBr', 'condition1': 'Norm', 'condition2': 'Norm', 'bldgtype': '1Fam', 'housestyle': '2Story', 'YEARREMODADD': 2003, 'roofstyle': 'Hip', 'roofmatl': 'CompShg', 'exterior1st': 'CemntBd', 'exterior2nd': 'Wd Shng', 'masvnrtype': 'BrkFace', 'MASVNRAREA': 603.0, 'exterqual': 'Ex', 'extercond': 'TA', 'foundation': 'PConc', 'bsmtqual': 'Gd', 'bsmtcond': 'TA', 'bsmtexposure': 'Gd', 'bsmtfintype1': 'ALQ', 'BSMTFINSF1': 1416, 'bsmtfintype2': 'Unf', 'BSMTFINSF2': 0, 'BSMTUNFSF': 234, 'TOTALBSMTSF': 1650, 'heating': 'GasA', 'heatingqc': 'Ex', 'centralair': 'Y', 'electrical': 'SBrkr', '1STFLRSF': 1690, '2NDFLRSF': 1589, 'LOWQUALFINSF': 0, 'GRLIVAREA': 3279, 'BSMTFULLBATH': 1, 'BSMTHALFBATH': 0, 'FULLBATH': 3, 'HALFBATH': 1, 'BEDROOMABVGR': 4, 'KITCHENABVGR': 1, 'kitchenqual': 'Ex', 'TOTRMSABVGRD': 12, 'functional': 'Mod', 'FIREPLACES': 1, 'fireplacequ': 'Gd', 'garagetype': 'BuiltIn', 'GARAGEYRBLT': 2003.0, 'garagefinish': 'Fin', 'GARAGECARS': 3, 'GARAGEAREA': 841, 'garagequal': 'TA', 'garagecond': 'TA', 'paveddrive': 'Y', 'WOODDECKSF': 503, 'OPENPORCHSF': 36, 'ENCLOSEDPORCH': 0, '3SSNPORCH': 0, 'SCREENPORCH': 210, 'POOLAREA': 0, 'poolqc': 'Unknown', 'fence': 'Unknown', 'miscfeature': 'Unknown', 'MISCVAL': 0, 'MOSOLD': 6, 'YRSOLD': 2010, 'saletype': 'WD', 'salecondition': 'Normal'}",0.5681805314200334,1
6,"{'ID': 1288, 'MSSUBCLASS': 20, 'mszoning': 'RL', 'LOTFRONTAGE': 70.04995837, 'LOTAREA': 36500, 'street': 'Pave', 'alley': 'Unknown', 'lotshape': 'IR1', 'landcontour': 'Low', 'utilities': 'AllPub', 'lotconfig': 'Inside', 'landslope': 'Mod', 'neighborhood': 'ClearCr', 'condition1': 'Norm', 'condition2': 'Norm', 'bldgtype': '1Fam', 'housestyle': '1Story', 'YEARREMODADD': 1964, 'roofstyle': 'Gable', 'roofmatl': 'CompShg', 'exterior1st': 'Wd Sdng', 'exterior2nd': 'Wd Sdng', 'masvnrtype': 'BrkCmn', 'MASVNRAREA': 621.0, 'exterqual': 'TA', 'extercond': 'Gd', 'foundation': 'CBlock', 'bsmtqual': 'TA', 'bsmtcond': 'TA', 'bsmtexposure': 'Av', 'bsmtfintype1': 'Rec', 'BSMTFINSF1': 812, 'bsmtfintype2': 'Unf', 'BSMTFINSF2': 0, 'BSMTUNFSF': 812, 'TOTALBSMTSF': 1624, 'heating': 'GasA', 'heatingqc': 'Fa', 'centralair': 'Y', 'electrical': 'SBrkr', '1STFLRSF': 1582, '2NDFLRSF': 0, 'LOWQUALFINSF': 0, 'GRLIVAREA': 1582, 'BSMTFULLBATH': 0, 'BSMTHALFBATH': 1, 'FULLBATH': 2, 'HALFBATH': 0, 'BEDROOMABVGR': 4, 'KITCHENABVGR': 1, 'kitchenqual': 'TA', 'TOTRMSABVGRD': 7, 'functional': 'Typ', 'FIREPLACES': 0, 'fireplacequ': 'Unknown', 'garagetype': 'Attchd', 'GARAGEYRBLT': 1964.0, 'garagefinish': 'Unf', 'GARAGECARS': 2, 'GARAGEAREA': 390, 'garagequal': 'TA', 'garagecond': 'TA', 'paveddrive': 'N', 'WOODDECKSF': 168, 'OPENPORCHSF': 198, 'ENCLOSEDPORCH': 0, '3SSNPORCH': 0, 'SCREENPORCH': 0, 'POOLAREA': 0, 'poolqc': 'Unknown', 'fence': 'Unknown', 'miscfeature': 'Unknown', 'MISCVAL': 0, 'MOSOLD': 6, 'YRSOLD': 2006, 'saletype': 'WD', 'salecondition': 'Normal'}",0.6361415661905055,1
7,"{'ID': 8, 'MSSUBCLASS': 60, 'mszoning': 'RL', 'LOTFRONTAGE': 70.04995837, 'LOTAREA': 10382, 'street': 'Pave', 'alley': 'Unknown', 'lotshape': 'IR1', 'landcontour': 'Lvl', 'utilities': 'AllPub', 'lotconfig': 'Corner', 'landslope': 'Gtl', 'neighborhood': 'NWAmes', 'condition1': 'PosN', 'condition2': 'Norm', 'bldgtype': '1Fam', 'housestyle': '2Story', 'YEARREMODADD': 1973, 'roofstyle': 'Gable', 'roofmatl': 'CompShg', 'exterior1st': 'HdBoard', 'exterior2nd': 'HdBoard', 'masvnrtype': 'Stone', 'MASVNRAREA': 240.0, 'exterqual': 'TA', 'extercond': 'TA', 'foundation': 'CBlock', 'bsmtqual': 'Gd', 'bsmtcond': 'TA', 'bsmtexposure': 'Mn', 'bsmtfintype1': 'ALQ', 'BSMTFINSF1': 859, 'bsmtfintype2': 'BLQ', 'BSMTFINSF2': 32, 'BSMTUNFSF': 216, 'TOTALBSMTSF': 1107, 'heating': 'GasA', 'heatingqc': 'Ex', 'centralair': 'Y', 'electrical': 'SBrkr', '1STFLRSF': 1107, '2NDFLRSF': 983, 'LOWQUALFINSF': 0, 'GRLIVAREA': 2090, 'BSMTFULLBATH': 1, 'BSMTHALFBATH': 0, 'FULLBATH': 2, 'HALFBATH': 1, 'BEDROOMABVGR': 3, 'KITCHENABVGR': 1, 'kitchenqual': 'TA', 'TOTRMSABVGRD': 7, 'functional': 'Typ', 'FIREPLACES': 2, 'fireplacequ': 'TA', 'garagetype': 'Attchd', 'GARAGEYRBLT': 1973.0, 'garagefinish': 'RFn', 'GARAGECARS': 2, 'GARAGEAREA': 484, 'garagequal': 'TA', 'garagecond': 'TA', 'paveddrive': 'Y', 'WOODDECKSF': 235, 'OPENPORCHSF': 204, 'ENCLOSEDPORCH': 228, '3SSNPORCH': 0, 'SCREENPORCH': 0, 'POOLAREA': 0, 'poolqc': 'Unknown', 'fence': 'Unknown', 'miscfeature': 'Shed', 'MISCVAL': 350, 'MOSOLD': 11, 'YRSOLD': 2009, 'saletype': 'WD', 'salecondition': 'Normal'}",0.5876668691659979,1
8,"{'ID': 540, 'MSSUBCLASS': 20, 'mszoning': 'RL', 'LOTFRONTAGE': 70.04995837, 'LOTAREA': 11423, 'street': 'Pave', 'alley': 'Unknown', 'lotshape': 'Reg', 'landcontour': 'Lvl', 'utilities': 'AllPub', 'lotconfig': 'Inside', 'landslope': 'Gtl', 'neighborhood': 'CollgCr', 'condition1': 'Norm', 'condition2': 'Norm', 'bldgtype': '1Fam', 'housestyle': '1Story', 'YEARREMODADD': 2002, 'roofstyle': 'Gable', 'roofmatl': 'CompShg', 'exterior1st': 'VinylSd', 'exterior2nd': 'VinylSd', 'masvnrtype': 'BrkFace', 'MASVNRAREA': 479.0, 'exterqual': 'Gd', 'extercond': 'TA', 'foundation': 'PConc', 'bsmtqual': 'Gd', 'bsmtcond': 'TA', 'bsmtexposure': 'Av', 'bsmtfintype1': 'GLQ', 'BSMTFINSF1': 1358, 'bsmtfintype2': 'Unf', 'BSMTFINSF2': 0, 'BSMTUNFSF': 223, 'TOTALBSMTSF': 1581, 'heating': 'GasA', 'heatingqc': 'Ex', 'centralair': 'Y', 'electrical': 'SBrkr', '1STFLRSF': 1601, '2NDFLRSF': 0, 'LOWQUALFINSF': 0, 'GRLIVAREA': 1601, 'BSMTFULLBATH': 1, 'BSMTHALFBATH': 0, 'FULLBATH': 2, 'HALFBATH': 0, 'BEDROOMABVGR': 3, 'KITCHENABVGR': 1, 'kitchenqual': 'Gd', 'TOTRMSABVGRD': 6, 'functional': 'Typ', 'FIREPLACES': 1, 'fireplacequ': 'TA', 'garagetype': 'Attchd', 'GARAGEYRBLT': 2001.0, 'garagefinish': 'RFn', 'GARAGECARS': 2, 'GARAGEAREA': 670, 'garagequal': 'TA', 'garagecond': 'TA', 'paveddrive': 'Y', 'WOODDECKSF': 180, 'OPENPORCHSF': 0, 'ENCLOSEDPORCH': 0, '3SSNPORCH': 0, 'SCREENPORCH': 0, 'POOLAREA': 0, 'poolqc': 'Unknown', 'fence': 'MnPrv', 'miscfeature': 'Shed', 'MISCVAL': 2000, 'MOSOLD': 5, 'YRSOLD': 2010, 'saletype': 'WD', 'salecondition': 'Normal'}",0.6370034583688815,1
9,"{'ID': 719, 'MSSUBCLASS': 60, 'mszoning': 'RL', 'LOTFRONTAGE': 96.0, 'LOTAREA': 10542, 'street': 'Pave', 'alley': 'Unknown', 'lotshape': 'Reg', 'landcontour': 'Lvl', 'utilities': 'AllPub', 'lotconfig': 'Inside', 'landslope': 'Gtl', 'neighborhood': 'NoRidge', 'condition1': 'Norm', 'condition2': 'Norm', 'bldgtype': '1Fam', 'housestyle': '2Story', 'YEARREMODADD': 1994, 'roofstyle': 'Hip', 'roofmatl': 'CompShg', 'exterior1st': 'Wd Sdng', 'exterior2nd': 'ImStucc', 'masvnrtype': 'BrkFace', 'MASVNRAREA': 651.0, 'exterqual': 'Gd', 'extercond': 'TA', 'foundation': 'PConc', 'bsmtqual': 'Gd', 'bsmtcond': 'TA', 'bsmtexposure': 'Gd', 'bsmtfintype1': 'GLQ', 'BSMTFINSF1': 1173, 'bsmtfintype2': 'Unf', 'BSMTFINSF2': 0, 'BSMTUNFSF': 138, 'TOTALBSMTSF': 1311, 'heating': 'GasA', 'heatingqc': 'Ex', 'centralair': 'Y', 'electrical': 'SBrkr', '1STFLRSF': 1325, '2NDFLRSF': 1093, 'LOWQUALFINSF': 0, 'GRLIVAREA': 2418, 'BSMTFULLBATH': 1, 'BSMTHALFBATH': 0, 'FULLBATH': 2, 'HALFBATH': 1, 'BEDROOMABVGR': 3, 'KITCHENABVGR': 1, 'kitchenqual': 'Gd', 'TOTRMSABVGRD': 9, 'functional': 'Typ', 'FIREPLACES': 1, 'fireplacequ': 'TA', 'garagetype': 'Attchd', 'GARAGEYRBLT': 1993.0, 'garagefinish': 'RFn', 'GARAGECARS': 3, 'GARAGEAREA': 983, 'garagequal': 'TA', 'garagecond': 'TA', 'paveddrive': 'Y', 'WOODDECKSF': 250, 'OPENPORCHSF': 154, 'ENCLOSEDPORCH': 216, '3SSNPORCH': 0, 'SCREENPORCH': 0, 'POOLAREA': 0, 'poolqc': 'Unknown', 'fence': 'Unknown', 'miscfeature': 'Unknown', 'MISCVAL': 0, 'MOSOLD': 8, 'YRSOLD': 2008, 'saletype': 'WD', 'salecondition': 'Normal'}",0.6042439204683425,1
