iteration,config,value,elapsed_time
0,"{'Culture': 0.7928859259772616, 'Criticality': 0.7261234742855576, 'Criticality Modifier': 0.9570665283314894, 'Initial Known': 0.7010873805556707, 'Inter-Dependency': 0.0176444279814991, 'Dynamism': 0.210813874387844, 'Size': 0.7706712414990495, 'Plan': 0.1643260060986037, 'Team Size': 0.7521019391782876}",0.5255491080716445,1
1,"{'Culture': 0.1625110125724954, 'Criticality': 0.2326334669661552, 'Criticality Modifier': 0.6623467350176442, 'Initial Known': 0.492061057501549, 'Inter-Dependency': 0.6483873244036996, 'Dynamism': 0.5597403119545523, 'Size': 0.0326492582494861, 'Plan': 0.8163206289804799, 'Team Size': 0.1554230988799697}",0.3570008523560151,1
2,"{'Culture': 0.5680634765365955, 'Criticality': 0.1651734960138764, 'Criticality Modifier': 0.8313412003187898, 'Initial Known': 0.0767423899886929, 'Inter-Dependency': 0.9371962153525384, 'Dynamism': 0.2966947200926989, 'Size': 0.1894094163905024, 'Plan': 0.5097564604150386, 'Team Size': 0.3060305626450293}",0.18089311836233812,1
3,"{'Culture': 0.1075062373235126, 'Criticality': 0.7685934855657712, 'Criticality Modifier': 0.1228416680992282, 'Initial Known': 0.71400773564589, 'Inter-Dependency': 0.1708253008824305, 'Dynamism': 0.5960946417075421, 'Size': 0.5302517133336472, 'Plan': 0.6218168186065562, 'Team Size': 0.8425281106390183}",0.3674058354178338,1
4,"{'Culture': 0.1754144344960266, 'Criticality': 0.8293355831005866, 'Criticality Modifier': 0.4349317169690462, 'Initial Known': 0.8480392406033218, 'Inter-Dependency': 0.0855395206761377, 'Dynamism': 0.7313492516324457, 'Size': 0.5859448386468308, 'Plan': 0.3970769023793904, 'Team Size': 0.5028613905953869}",0.48724814282479856,1
5,"{'Culture': 0.9248827325017056, 'Criticality': 0.372357314563821, 'Criticality Modifier': 0.3218203352347133, 'Initial Known': 0.0710127972398563, 'Inter-Dependency': 0.5110157280239692, 'Dynamism': 0.2990285588679003, 'Size': 0.6883160668163533, 'Plan': 0.7999476575705713, 'Team Size': 0.9189039375170852}",0.427927544934783,1
6,"{'Culture': 0.4305312550230389, 'Criticality': 0.0221821665720116, 'Criticality Modifier': 0.8765574470900854, 'Initial Known': 0.1544432581268537, 'Inter-Dependency': 0.8298851384482796, 'Dynamism': 0.4928026153959959, 'Size': 0.8952860803224009, 'Plan': 0.1866543107950633, 'Team Size': 0.4821904638059873}",0.4399520171012623,1
7,"{'Culture': 0.7355777911921849, 'Criticality': 0.8078109872181739, 'Criticality Modifier': 0.2420169991320259, 'Initial Known': 0.4317393044408066, 'Inter-Dependency': 0.4733727618610684, 'Dynamism': 0.3848437227678646, 'Size': 0.0528373749050026, 'Plan': 0.956542319758084, 'Team Size': 0.218257668428494}",0.3235091248317886,1
8,"{'Culture': 0.4437373165564323, 'Criticality': 0.5761942071231414, 'Criticality Modifier': 0.8247495944579435, 'Initial Known': 0.4197550290007724, 'Inter-Dependency': 0.1020034575852739, 'Dynamism': 0.0271092055761617, 'Size': 0.3299824135517978, 'Plan': 0.2517943555297731, 'Team Size': 0.3384084219461507}",0.45334465417745207,1
9,"{'Culture': 0.6982665183158058, 'Criticality': 0.3485731198639077, 'Criticality Modifier': 0.2051054286295865, 'Initial Known': 0.6618869947498252, 'Inter-Dependency': 0.953057753286757, 'Dynamism': 0.9336536569401712, 'Size': 0.5878724899581451, 'Plan': 0.9322358958890268, 'Team Size': 0.8426970704061434}",0.36380521845195657,1
