iteration,config,value,elapsed_time
0,"{'Culture': 0.1986426229823464, 'Criticality': 0.6939100550452871, 'Criticality Modifier': 0.8881716479786957, 'Initial Known': 0.5631895036936178, 'Inter-Dependency': 0.7759247963086731, 'Dynamism': 0.1051662206837804, 'Size': 0.2447368918253266, 'Plan': 0.0716317854177129, 'Team Size': 0.7267006113528366}",0.12797506158608984,1
1,"{'Culture': 0.6079929540392904, 'Criticality': 0.3520617879168681, 'Criticality Modifier': 0.2212838022860745, 'Initial Known': 0.3115453461939389, 'Inter-Dependency': 0.4477719094791745, 'Dynamism': 0.98839915036678, 'Size': 0.4562409318852054, 'Plan': 0.621867304039615, 'Team Size': 0.3860488480630654}",0.48406649427560544,1
2,"{'Culture': 0.3355908128386451, 'Criticality': 0.0960485649270284, 'Criticality Modifier': 0.6661885415643862, 'Initial Known': 0.5350837198876344, 'Inter-Dependency': 0.0259538174019594, 'Dynamism': 0.6297813640382329, 'Size': 0.8202516951590016, 'Plan': 0.4539756131000035, 'Team Size': 0.0662327822265183}",0.33564277564584,1
3,"{'Culture': 0.4132396910535952, 'Criticality': 0.7609613517588777, 'Criticality Modifier': 0.1689175788044834, 'Initial Known': 0.8007746955065881, 'Inter-Dependency': 0.6002744077750164, 'Dynamism': 0.8739387299388305, 'Size': 0.1355392141395632, 'Plan': 0.97376799897925, 'Team Size': 0.8461401308578936}",0.3578107590737508,1
4,"{'Culture': 0.9261855353750974, 'Criticality': 0.907613146148663, 'Criticality Modifier': 0.603609463061285, 'Initial Known': 0.9467447752073694, 'Inter-Dependency': 0.9463339395941988, 'Dynamism': 0.8747471441190741, 'Size': 0.5052957455146438, 'Plan': 0.2867651891510306, 'Team Size': 0.2993459457410111}",0.42506589057779665,1
5,"{'Culture': 0.5554496006792157, 'Criticality': 0.2238382383193682, 'Criticality Modifier': 0.0872465546732301, 'Initial Known': 0.3933738597969551, 'Inter-Dependency': 0.3338393557756547, 'Dynamism': 0.275518738909156, 'Size': 0.0372534667301237, 'Plan': 0.9688385284096472, 'Team Size': 0.7809392896322952}",0.35195819850745425,1
6,"{'Culture': 0.7094784113708164, 'Criticality': 0.6784275495236339, 'Criticality Modifier': 0.973010485359744, 'Initial Known': 0.2010461707088419, 'Inter-Dependency': 0.0683741215738477, 'Dynamism': 0.8754781247788579, 'Size': 0.1618842519461136, 'Plan': 0.2080146471606657, 'Team Size': 0.6828782265210135}",0.3396686324755821,1
7,"{'Culture': 0.2021455352279201, 'Criticality': 0.6554035784166363, 'Criticality Modifier': 0.25883889029551, 'Initial Known': 0.4745550203610057, 'Inter-Dependency': 0.7708688309904375, 'Dynamism': 0.1073843844738614, 'Size': 0.6771546122645538, 'Plan': 0.7310448537483433, 'Team Size': 0.4407818255480029}",0.23374660925895618,1
8,"{'Culture': 0.7408111500838361, 'Criticality': 0.4785968680822664, 'Criticality Modifier': 0.5311525867067288, 'Initial Known': 0.1876006870113536, 'Inter-Dependency': 0.2977143779195939, 'Dynamism': 0.2987741202936892, 'Size': 0.8852789929397694, 'Plan': 0.3256355727863431, 'Team Size': 0.3496436154621467}",0.20321271754579584,1
9,"{'Culture': 0.433766915638559, 'Criticality': 0.2045705288560745, 'Criticality Modifier': 0.0593587111899134, 'Initial Known': 0.622834209884758, 'Inter-Dependency': 0.1100385085120743, 'Dynamism': 0.7576607105964723, 'Size': 0.2367885191080033, 'Plan': 0.987551239873717, 'Team Size': 0.8615754219394607}",0.23477216961816016,1
