iteration,config,value,elapsed_time
0,"{'Culture': 0.1027698591879692, 'Criticality': 0.3910768946349493, 'Criticality Modifier': 0.5903701171692759, 'Initial Known': 0.4262689462778665, 'Inter-Dependency': 0.8897032493465847, 'Dynamism': 0.4224156202878735, 'Size': 0.590614950001174, 'Plan': 0.0152930521150809, 'Team Size': 0.8319515690883749}",0.5007961790718396,1
1,"{'Culture': 0.8417900607912588, 'Criticality': 0.4768277631285277, 'Criticality Modifier': 0.9701610315044886, 'Initial Known': 0.8525871264062662, 'Inter-Dependency': 0.2122423406710728, 'Dynamism': 0.462069680993868, 'Size': 0.2598928018127485, 'Plan': 0.987495203505892, 'Team Size': 0.2561030702180438}",0.6476290423284297,1
2,"{'Culture': 0.5194365645882988, 'Criticality': 0.991247901533116, 'Criticality Modifier': 0.4447098339806198, 'Initial Known': 0.1196610752281661, 'Inter-Dependency': 0.17652540295657, 'Dynamism': 0.4730576879556387, 'Size': 0.1898791159489775, 'Plan': 0.2099717107533751, 'Team Size': 0.9041661681353468}",0.36462610868259504,1
3,"{'Culture': 0.8820976243599393, 'Criticality': 0.990757100045088, 'Criticality Modifier': 0.6205207474713963, 'Initial Known': 0.1718266908606079, 'Inter-Dependency': 0.8989846326188505, 'Dynamism': 0.6267290064055525, 'Size': 0.0759028830984644, 'Plan': 0.0098415489809674, 'Team Size': 0.6303980980395467}",0.5724612565008991,1
4,"{'Culture': 0.5214023786330388, 'Criticality': 0.2550420049717176, 'Criticality Modifier': 0.0482580734559728, 'Initial Known': 0.057799049538424, 'Inter-Dependency': 0.2885833437218059, 'Dynamism': 0.6592089343162048, 'Size': 0.624997948910824, 'Plan': 0.6189973051010339, 'Team Size': 0.7667155330128365}",0.5646517846241805,1
5,"{'Culture': 0.6847049829085152, 'Criticality': 0.873966216594664, 'Criticality Modifier': 0.8276481427703262, 'Initial Known': 0.2987730939208107, 'Inter-Dependency': 0.1511236189180803, 'Dynamism': 0.7256564999214342, 'Size': 0.3819491222226214, 'Plan': 0.1523227513373212, 'Team Size': 0.6043147529756228}",0.5086115561173368,1
6,"{'Culture': 0.3684953168541895, 'Criticality': 0.8218764216654174, 'Criticality Modifier': 0.3475597024696755, 'Initial Known': 0.8306839237324658, 'Inter-Dependency': 0.4039957290302556, 'Dynamism': 0.7743210312563578, 'Size': 0.442128019904176, 'Plan': 0.6850437627982425, 'Team Size': 0.922455178045605}",0.42679928579842874,1
7,"{'Culture': 0.6204656099489705, 'Criticality': 0.1877996727449468, 'Criticality Modifier': 0.7071052742352829, 'Initial Known': 0.4532990564177729, 'Inter-Dependency': 0.5807012041415474, 'Dynamism': 0.6421424870169675, 'Size': 0.9440161198188332, 'Plan': 0.7368552923919099, 'Team Size': 0.0035129820015906}",0.3432795285390191,1
8,"{'Culture': 0.789516343418727, 'Criticality': 0.4112267591981304, 'Criticality Modifier': 0.4479669661981178, 'Initial Known': 0.6097184902206694, 'Inter-Dependency': 0.3057632172307132, 'Dynamism': 0.7694492813622545, 'Size': 0.0058080749142744, 'Plan': 0.5129191146823324, 'Team Size': 0.1061516138001421}",0.564560769056683,1
9,"{'Culture': 0.748852481640573, 'Criticality': 0.0307741722721806, 'Criticality Modifier': 0.7155831633415486, 'Initial Known': 0.3437842856258963, 'Inter-Dependency': 0.3678179702765478, 'Dynamism': 0.2900873974015262, 'Size': 0.3996879937930644, 'Plan': 0.3753783838141665, 'Team Size': 0.3935702120019752}",0.2719754752905732,1
10,"{'Culture': 0.8228586171014295, 'Criticality': 0.5863527467841754, 'Criticality Modifier': 0.5564890893650503, 'Initial Known': 0.0892863831380654, 'Inter-Dependency': 0.7880461625684718, 'Dynamism': 0.3904893751950411, 'Size': 0.8951688718306874, 'Plan': 0.6556296722257019, 'Team Size': 0.3570026789474363}",0.4575330362309692,1
11,"{'Culture': 0.3918017959030911, 'Criticality': 0.0513320830852719, 'Criticality Modifier': 0.0420081492206153, 'Initial Known': 0.252586350987493, 'Inter-Dependency': 0.3327236987426888, 'Dynamism': 0.7654401318571279, 'Size': 0.4163919547415573, 'Plan': 0.1699060611343127, 'Team Size': 0.6797428889807619}",0.37880680516388643,1
12,"{'Culture': 0.2515645906040349, 'Criticality': 0.9585731463882988, 'Criticality Modifier': 0.97269966401415, 'Initial Known': 0.343795725908208, 'Inter-Dependency': 0.6661725069303125, 'Dynamism': 0.6071355472364875, 'Size': 0.8499296428988563, 'Plan': 0.5490511633984981, 'Team Size': 0.2077957749851382}",0.5584230311433352,1
13,"{'Culture': 0.9064474993144308, 'Criticality': 0.2644581386937101, 'Criticality Modifier': 0.2681647434793899, 'Initial Known': 0.5576007986643188, 'Inter-Dependency': 0.8333172175939797, 'Dynamism': 0.6218950692070219, 'Size': 0.1077090806200009, 'Plan': 0.2445300457514462, 'Team Size': 0.2915130212246951}",0.5777442835531774,1
14,"{'Culture': 0.5827151779928151, 'Criticality': 0.7449884116556371, 'Criticality Modifier': 0.9633713209970036, 'Initial Known': 0.8465829172955679, 'Inter-Dependency': 0.6609268934029464, 'Dynamism': 0.4935058721711119, 'Size': 0.0657702917390045, 'Plan': 0.1674366112453319, 'Team Size': 0.469310582584576}",0.5560855619443532,1
15,"{'Culture': 0.1392407952641513, 'Criticality': 0.0715535224363547, 'Criticality Modifier': 0.8115810580041225, 'Initial Known': 0.4508666024140833, 'Inter-Dependency': 0.5607258109596994, 'Dynamism': 0.6142963009788023, 'Size': 0.7868183369902142, 'Plan': 0.3362114755486958, 'Team Size': 0.10058827469868}",0.3809611491061905,1
16,"{'Culture': 0.0348509062729374, 'Criticality': 0.3933397700699338, 'Criticality Modifier': 0.6332392334565654, 'Initial Known': 0.9851471434994604, 'Inter-Dependency': 0.2044722675946407, 'Dynamism': 0.8014899194983732, 'Size': 0.3441854457994818, 'Plan': 0.5111711474234528, 'Team Size': 0.3479295081446448}",0.3274009551993784,1
17,"{'Culture': 0.2383721377863513, 'Criticality': 0.9925329846728524, 'Criticality Modifier': 0.9399344538098936, 'Initial Known': 0.8584345556143235, 'Inter-Dependency': 0.7746099906123742, 'Dynamism': 0.3464965227200106, 'Size': 0.7010927834415354, 'Plan': 0.5860586925326949, 'Team Size': 0.0840067509929088}",0.5649247707781502,1
18,"{'Culture': 0.8231477462722633, 'Criticality': 0.8216477165127284, 'Criticality Modifier': 0.9993140416324828, 'Initial Known': 0.3204398306927316, 'Inter-Dependency': 0.5965297485200981, 'Dynamism': 0.3580971090910901, 'Size': 0.6842288541326169, 'Plan': 0.8710711651423239, 'Team Size': 0.811846528844195}",0.5878245536959009,1
19,"{'Culture': 0.8042369300407795, 'Criticality': 0.1057907184021561, 'Criticality Modifier': 0.6014909415262586, 'Initial Known': 0.465861521803216, 'Inter-Dependency': 0.8498841105519698, 'Dynamism': 0.4541359238273275, 'Size': 0.4187612665562987, 'Plan': 0.6779932632917913, 'Team Size': 0.7362327760571663}",0.4831569359141239,1
