iteration,config,value,elapsed_time
0,"{'Culture': 0.8533110576756598, 'Criticality': 0.2063302754326402, 'Criticality Modifier': 0.4461783720593552, 'Initial Known': 0.9564001157166204, 'Inter-Dependency': 0.9635791079357632, 'Dynamism': 0.0201731688431852, 'Size': 0.1270161363651735, 'Plan': 0.1762181966420191, 'Team Size': 0.1275777584301226}",0.2993888045076095,1
1,"{'Culture': 0.1114202656277775, 'Criticality': 0.2490884100605361, 'Criticality Modifier': 0.8985674082152857, 'Initial Known': 0.656782450509184, 'Inter-Dependency': 0.1625187278495532, 'Dynamism': 0.6102834689652767, 'Size': 0.6338604214156257, 'Plan': 0.779259173116462, 'Team Size': 0.859268339622562}",0.44535390994275426,1
2,"{'Culture': 0.7508224973629819, 'Criticality': 0.249155834358753, 'Criticality Modifier': 0.1997539867805081, 'Initial Known': 0.4401620378749322, 'Inter-Dependency': 0.295139327032986, 'Dynamism': 0.5830931825898878, 'Size': 0.6822541891772238, 'Plan': 0.5305462512246626, 'Team Size': 0.6618832551205586}",0.43850146601300244,1
3,"{'Culture': 0.5798513302690677, 'Criticality': 0.6253551789833319, 'Criticality Modifier': 0.9080678797763084, 'Initial Known': 0.6936855229105152, 'Inter-Dependency': 0.860595941832867, 'Dynamism': 0.6294878179439067, 'Size': 0.4164822649915874, 'Plan': 0.5483178531326245, 'Team Size': 0.1271870785131009}",0.5696237475992701,1
4,"{'Culture': 0.3999085437946914, 'Criticality': 0.9446334131283816, 'Criticality Modifier': 0.2794230527064559, 'Initial Known': 0.7372169369869107, 'Inter-Dependency': 0.6854859009318703, 'Dynamism': 0.6546301534162681, 'Size': 0.7835242042253294, 'Plan': 0.436904170367161, 'Team Size': 0.5797710137205501}",0.33864036745864334,1
5,"{'Culture': 0.6796949866043572, 'Criticality': 0.3827828724610136, 'Criticality Modifier': 0.9617658233303592, 'Initial Known': 0.2194343587595441, 'Inter-Dependency': 0.6077006978189086, 'Dynamism': 0.1257264511080105, 'Size': 0.2833160398737128, 'Plan': 0.4680346242378, 'Team Size': 0.3059648822052334}",0.2538694933620337,1
6,"{'Culture': 0.1445828572915639, 'Criticality': 0.1182954346715173, 'Criticality Modifier': 0.8791513600902596, 'Initial Known': 0.711132660419473, 'Inter-Dependency': 0.3612778657535437, 'Dynamism': 0.9053267326577864, 'Size': 0.0209367761970263, 'Plan': 0.002996424918665, 'Team Size': 0.2628910130403961}",0.1641766583581149,1
7,"{'Culture': 0.6094546402362033, 'Criticality': 0.6769980274462905, 'Criticality Modifier': 0.629594849193436, 'Initial Known': 0.592205946622663, 'Inter-Dependency': 0.9840333141935343, 'Dynamism': 0.0697179403742873, 'Size': 0.6534957397171139, 'Plan': 0.7148822744224108, 'Team Size': 0.726590523393216}",0.3435176208612679,1
8,"{'Culture': 0.2892107258698666, 'Criticality': 0.6425183028558709, 'Criticality Modifier': 0.4046731809779412, 'Initial Known': 0.5343702964425895, 'Inter-Dependency': 0.9138896072270968, 'Dynamism': 0.0087482908228812, 'Size': 0.5282691838379664, 'Plan': 0.2200080258188395, 'Team Size': 0.7439430116601425}",0.3085202178717402,1
9,"{'Culture': 0.6126961753692762, 'Criticality': 0.0406434933677193, 'Criticality Modifier': 0.9499713307344346, 'Initial Known': 0.9547209660093052, 'Inter-Dependency': 0.4384760539891736, 'Dynamism': 0.7536321940403312, 'Size': 0.3687416745723553, 'Plan': 0.5270909644538323, 'Team Size': 0.5348772137190893}",0.16669817711516066,1
10,"{'Culture': 0.335669819452994, 'Criticality': 0.4675373213260405, 'Criticality Modifier': 0.2203829509558167, 'Initial Known': 0.4043093736867079, 'Inter-Dependency': 0.2155146643204947, 'Dynamism': 0.385016654419642, 'Size': 0.0483649587289836, 'Plan': 0.3356612141702151, 'Team Size': 0.0137946236208946}",0.3821175449978689,1
11,"{'Culture': 0.6367649186129589, 'Criticality': 0.7490157778574879, 'Criticality Modifier': 0.75161918340252, 'Initial Known': 0.3322747212024918, 'Inter-Dependency': 0.5501860146352566, 'Dynamism': 0.8768737383923372, 'Size': 0.4497587866780816, 'Plan': 0.8470464422053989, 'Team Size': 0.8690473655113138}",0.2079612157025963,1
12,"{'Culture': 0.6624405194889702, 'Criticality': 0.8221281185635193, 'Criticality Modifier': 0.2612041499049349, 'Initial Known': 0.0873205216055482, 'Inter-Dependency': 0.7317454081695243, 'Dynamism': 0.3597748118970085, 'Size': 0.3150709020021499, 'Plan': 0.4863878165330193, 'Team Size': 0.1187080000574579}",0.2033922399278436,1
13,"{'Culture': 0.411723476205837, 'Criticality': 0.038165490433023, 'Criticality Modifier': 0.818516569700611, 'Initial Known': 0.6572931704856834, 'Inter-Dependency': 0.2928792661786809, 'Dynamism': 0.4897101435534133, 'Size': 0.418589653149461, 'Plan': 0.9864502938266894, 'Team Size': 0.8691396027605951}",0.1950993176502902,1
14,"{'Culture': 0.6639568633347319, 'Criticality': 0.0731114612911312, 'Criticality Modifier': 0.293277831652274, 'Initial Known': 0.9825107724201344, 'Inter-Dependency': 0.5121969690688023, 'Dynamism': 0.5130721346080932, 'Size': 0.7507067563786923, 'Plan': 0.5857505229268445, 'Team Size': 0.8848571680340527}",0.33809632432773573,1
15,"{'Culture': 0.230845599704675, 'Criticality': 0.8670512275290371, 'Criticality Modifier': 0.2696543549161703, 'Initial Known': 0.6534509657284265, 'Inter-Dependency': 0.8198793824955155, 'Dynamism': 0.4761013463182819, 'Size': 0.3862986630614596, 'Plan': 0.7072299315070744, 'Team Size': 0.5214112379375918}",0.11668150085134243,1
16,"{'Culture': 0.5693309967444031, 'Criticality': 0.3442306293870567, 'Criticality Modifier': 0.1302024402221725, 'Initial Known': 0.588281234534211, 'Inter-Dependency': 0.1187424911772115, 'Dynamism': 0.8958178828130722, 'Size': 0.7647443331063974, 'Plan': 0.3682657583689211, 'Team Size': 0.3250408266844682}",0.4592944262305658,1
17,"{'Culture': 0.2803851153266012, 'Criticality': 0.2110727596502455, 'Criticality Modifier': 0.1768325260053403, 'Initial Known': 0.3833934159155938, 'Inter-Dependency': 0.7385362151042184, 'Dynamism': 0.0794680017852691, 'Size': 0.5733549916678171, 'Plan': 0.2801750607306871, 'Team Size': 0.7771345819253614}",0.4909570180209022,1
