iteration,config,value,elapsed_time
0,"{'DATA': 3.955, ' ACAP': 4.425, ' AEXP': 3.265, ' CPLx': 5.656, ' DOCU': 2.551, ' ETAT': 2.836, ' FLEx': 4.749, ' KLOC': 278.454, ' LTEx': 3.79, ' PCAP': 4.357, ' PCON': 1.586, ' PLEx': 1.89, ' PMAT': 2.444, ' PREC': 2.401, ' PVOL': 3.758, ' RELY': 3.56, ' RESL': 1.172, ' RUSE': 4.62, ' SCED': 3.0, ' SITE': 4.765, ' STOR': 3.564, ' TEAM': 2.097, ' TIME': 3.91, ' TOOL': 2.0}",0.27290218594079907,1
1,"{'DATA': 3.46, ' ACAP': 3.2, ' AEXP': 1.309, ' CPLx': 4.306, ' DOCU': 4.457, ' ETAT': 4.282, ' FLEx': 3.09, ' KLOC': 97.437, ' LTEx': 1.9, ' PCAP': 3.78, ' PCON': 2.958, ' PLEx': 1.238, ' PMAT': 2.321, ' PREC': 1.084, ' PVOL': 2.47, ' RELY': 4.046, ' RESL': 4.068, ' RUSE': 3.171, ' SCED': 3.0, ' SITE': 2.778, ' STOR': 3.769, ' TEAM': 4.314, ' TIME': 3.797, ' TOOL': 2.0}",0.2645148090594682,1
2,"{'DATA': 3.812, ' ACAP': 4.791, ' AEXP': 2.971, ' CPLx': 5.2, ' DOCU': 1.922, ' ETAT': 2.46, ' FLEx': 1.249, ' KLOC': 403.511, ' LTEx': 1.011, ' PCAP': 3.324, ' PCON': 3.657, ' PLEx': 1.914, ' PMAT': 2.049, ' PREC': 2.63, ' PVOL': 3.557, ' RELY': 4.649, ' RESL': 2.743, ' RUSE': 3.496, ' SCED': 3.0, ' SITE': 5.913, ' STOR': 3.434, ' TEAM': 1.717, ' TIME': 3.115, ' TOOL': 2.0}",0.4863274428410155,1
3,"{'DATA': 4.4, ' ACAP': 3.619, ' AEXP': 2.677, ' CPLx': 3.99, ' DOCU': 3.436, ' ETAT': 1.744, ' FLEx': 2.409, ' KLOC': 76.436, ' LTEx': 3.254, ' PCAP': 4.111, ' PCON': 3.95, ' PLEx': 2.465, ' PMAT': 2.671, ' PREC': 1.243, ' PVOL': 2.481, ' RELY': 3.647, ' RESL': 3.498, ' RUSE': 4.815, ' SCED': 3.0, ' SITE': 1.425, ' STOR': 3.085, ' TEAM': 4.935, ' TIME': 3.333, ' TOOL': 2.0}",0.1596366928955376,1
4,"{'DATA': 2.955, ' ACAP': 3.037, ' AEXP': 4.017, ' CPLx': 3.881, ' DOCU': 3.573, ' ETAT': 2.666, ' FLEx': 1.951, ' KLOC': 256.07, ' LTEx': 1.563, ' PCAP': 3.48, ' PCON': 3.599, ' PLEx': 1.406, ' PMAT': 2.961, ' PREC': 3.332, ' PVOL': 3.157, ' RELY': 3.294, ' RESL': 2.977, ' RUSE': 5.453, ' SCED': 3.0, ' SITE': 3.487, ' STOR': 3.445, ' TEAM': 3.1, ' TIME': 3.317, ' TOOL': 2.0}",0.2510158705123362,1
5,"{'DATA': 2.072, ' ACAP': 4.123, ' AEXP': 2.946, ' CPLx': 5.139, ' DOCU': 1.457, ' ETAT': 4.133, ' FLEx': 2.13, ' KLOC': 234.722, ' LTEx': 3.688, ' PCAP': 4.586, ' PCON': 1.506, ' PLEx': 3.787, ' PMAT': 2.175, ' PREC': 2.864, ' PVOL': 4.6, ' RELY': 3.276, ' RESL': 3.564, ' RUSE': 2.355, ' SCED': 3.0, ' SITE': 3.211, ' STOR': 3.36, ' TEAM': 3.34, ' TIME': 3.867, ' TOOL': 2.0}",0.16542955939965842,1
6,"{'DATA': 2.785, ' ACAP': 4.25, ' AEXP': 2.346, ' CPLx': 3.141, ' DOCU': 3.863, ' ETAT': 3.033, ' FLEx': 1.629, ' KLOC': 118.037, ' LTEx': 2.116, ' PCAP': 3.802, ' PCON': 2.975, ' PLEx': 2.138, ' PMAT': 2.377, ' PREC': 4.445, ' PVOL': 2.843, ' RELY': 4.301, ' RESL': 3.517, ' RUSE': 3.74, ' SCED': 3.0, ' SITE': 2.856, ' STOR': 3.039, ' TEAM': 2.151, ' TIME': 3.554, ' TOOL': 2.0}",0.18224232343485414,1
7,"{'DATA': 4.068, ' ACAP': 3.143, ' AEXP': 1.889, ' CPLx': 3.795, ' DOCU': 2.753, ' ETAT': 1.123, ' FLEx': 4.389, ' KLOC': 112.016, ' LTEx': 2.63, ' PCAP': 3.214, ' PCON': 4.349, ' PLEx': 1.894, ' PMAT': 2.889, ' PREC': 3.461, ' PVOL': 2.714, ' RELY': 3.632, ' RESL': 2.457, ' RUSE': 5.254, ' SCED': 3.0, ' SITE': 3.741, ' STOR': 3.55, ' TEAM': 3.011, ' TIME': 3.584, ' TOOL': 2.0}",0.2272550966614294,1
8,"{'DATA': 2.244, ' ACAP': 3.477, ' AEXP': 4.643, ' CPLx': 5.448, ' DOCU': 2.237, ' ETAT': 4.362, ' FLEx': 1.303, ' KLOC': 229.042, ' LTEx': 1.408, ' PCAP': 3.878, ' PCON': 4.063, ' PLEx': 1.672, ' PMAT': 2.666, ' PREC': 2.263, ' PVOL': 2.749, ' RELY': 4.807, ' RESL': 4.792, ' RUSE': 3.268, ' SCED': 3.0, ' SITE': 2.132, ' STOR': 3.474, ' TEAM': 1.992, ' TIME': 3.495, ' TOOL': 2.0}",0.2355442834561149,1
9,"{'DATA': 4.331, ' ACAP': 4.229, ' AEXP': 2.062, ' CPLx': 4.094, ' DOCU': 4.482, ' ETAT': 1.495, ' FLEx': 2.535, ' KLOC': 94.923, ' LTEx': 3.712, ' PCAP': 4.294, ' PCON': 3.766, ' PLEx': 2.532, ' PMAT': 2.216, ' PREC': 2.391, ' PVOL': 4.344, ' RELY': 3.221, ' RESL': 1.867, ' RUSE': 3.109, ' SCED': 3.0, ' SITE': 3.512, ' STOR': 3.338, ' TEAM': 3.5, ' TIME': 3.896, ' TOOL': 2.0}",0.18084579322418393,1
