iteration,config,value,elapsed_time
0,"{'DATA': 2.395, ' ACAP': 4.264, ' AEXP': 4.569, ' CPLx': 2.369, ' DOCU': 3.738, ' ETAT': 5.109, ' FLEx': 4.793, ' KLOC': 163.776, ' LTEx': 3.03, ' PCAP': 4.036, ' PCON': 3.634, ' PLEx': 1.507, ' PMAT': 2.636, ' PREC': 3.477, ' PVOL': 4.31, ' RELY': 3.476, ' RESL': 4.969, ' RUSE': 4.52, ' SCED': 3.0, ' SITE': 5.846, ' STOR': 3.624, ' TEAM': 2.625, ' TIME': 3.602, ' TOOL': 2.0}",0.1273500020397429,1
1,"{'DATA': 4.01, ' ACAP': 3.723, ' AEXP': 2.983, ' CPLx': 2.655, ' DOCU': 4.834, ' ETAT': 4.234, ' FLEx': 4.602, ' KLOC': 53.741, ' LTEx': 1.823, ' PCAP': 4.613, ' PCON': 4.71, ' PLEx': 2.026, ' PMAT': 2.702, ' PREC': 1.44, ' PVOL': 2.842, ' RELY': 1.153, ' RESL': 1.704, ' RUSE': 3.991, ' SCED': 3.0, ' SITE': 5.313, ' STOR': 3.032, ' TEAM': 1.441, ' TIME': 3.124, ' TOOL': 2.0}",0.26786801513481295,1
2,"{'DATA': 4.037, ' ACAP': 3.342, ' AEXP': 4.62, ' CPLx': 1.128, ' DOCU': 3.015, ' ETAT': 2.311, ' FLEx': 4.078, ' KLOC': 380.333, ' LTEx': 1.433, ' PCAP': 3.071, ' PCON': 1.003, ' PLEx': 2.434, ' PMAT': 2.741, ' PREC': 4.173, ' PVOL': 2.869, ' RELY': 2.288, ' RESL': 4.2, ' RUSE': 3.704, ' SCED': 3.0, ' SITE': 4.464, ' STOR': 3.606, ' TEAM': 4.888, ' TIME': 3.631, ' TOOL': 2.0}",0.31716926072752116,1
3,"{'DATA': 3.485, ' ACAP': 3.288, ' AEXP': 4.383, ' CPLx': 3.251, ' DOCU': 3.78, ' ETAT': 5.202, ' FLEx': 1.209, ' KLOC': 305.514, ' LTEx': 2.156, ' PCAP': 4.947, ' PCON': 4.569, ' PLEx': 2.27, ' PMAT': 2.878, ' PREC': 2.039, ' PVOL': 4.256, ' RELY': 1.855, ' RESL': 2.701, ' RUSE': 3.811, ' SCED': 3.0, ' SITE': 5.895, ' STOR': 3.077, ' TEAM': 3.758, ' TIME': 3.136, ' TOOL': 2.0}",0.31404641030103897,1
4,"{'DATA': 3.306, ' ACAP': 4.652, ' AEXP': 2.519, ' CPLx': 1.417, ' DOCU': 3.731, ' ETAT': 2.847, ' FLEx': 3.618, ' KLOC': 238.544, ' LTEx': 1.557, ' PCAP': 3.689, ' PCON': 1.422, ' PLEx': 1.996, ' PMAT': 2.318, ' PREC': 1.192, ' PVOL': 4.741, ' RELY': 1.779, ' RESL': 2.949, ' RUSE': 4.527, ' SCED': 3.0, ' SITE': 4.884, ' STOR': 3.538, ' TEAM': 2.033, ' TIME': 3.556, ' TOOL': 2.0}",0.40845733507018256,1
5,"{'DATA': 2.798, ' ACAP': 4.639, ' AEXP': 4.007, ' CPLx': 2.864, ' DOCU': 3.483, ' ETAT': 4.138, ' FLEx': 2.332, ' KLOC': 383.191, ' LTEx': 1.385, ' PCAP': 3.273, ' PCON': 1.672, ' PLEx': 1.798, ' PMAT': 2.631, ' PREC': 1.097, ' PVOL': 3.468, ' RELY': 3.976, ' RESL': 1.26, ' RUSE': 3.785, ' SCED': 3.0, ' SITE': 4.632, ' STOR': 3.386, ' TEAM': 4.831, ' TIME': 3.3, ' TOOL': 2.0}",0.2898160303482842,1
6,"{'DATA': 4.694, ' ACAP': 3.548, ' AEXP': 2.867, ' CPLx': 2.458, ' DOCU': 1.913, ' ETAT': 1.231, ' FLEx': 3.683, ' KLOC': 129.609, ' LTEx': 3.204, ' PCAP': 3.096, ' PCON': 3.79, ' PLEx': 1.292, ' PMAT': 2.621, ' PREC': 2.132, ' PVOL': 2.236, ' RELY': 3.601, ' RESL': 2.902, ' RUSE': 3.607, ' SCED': 3.0, ' SITE': 2.197, ' STOR': 3.277, ' TEAM': 2.075, ' TIME': 3.068, ' TOOL': 2.0}",0.2407626394698057,1
7,"{'DATA': 3.168, ' ACAP': 4.106, ' AEXP': 2.893, ' CPLx': 2.675, ' DOCU': 2.073, ' ETAT': 5.909, ' FLEx': 4.267, ' KLOC': 94.736, ' LTEx': 3.035, ' PCAP': 4.131, ' PCON': 4.341, ' PLEx': 1.125, ' PMAT': 2.18, ' PREC': 3.341, ' PVOL': 3.416, ' RELY': 2.273, ' RESL': 1.798, ' RUSE': 5.775, ' SCED': 3.0, ' SITE': 2.647, ' STOR': 3.411, ' TEAM': 2.897, ' TIME': 3.308, ' TOOL': 2.0}",0.1954165822730165,1
8,"{'DATA': 4.892, ' ACAP': 4.523, ' AEXP': 2.255, ' CPLx': 3.124, ' DOCU': 1.899, ' ETAT': 1.116, ' FLEx': 3.346, ' KLOC': 377.79, ' LTEx': 2.11, ' PCAP': 3.351, ' PCON': 1.187, ' PLEx': 2.434, ' PMAT': 2.513, ' PREC': 1.366, ' PVOL': 3.763, ' RELY': 1.227, ' RESL': 4.114, ' RUSE': 4.157, ' SCED': 3.0, ' SITE': 2.18, ' STOR': 3.29, ' TEAM': 2.995, ' TIME': 3.955, ' TOOL': 2.0}",0.49503005269201794,1
9,"{'DATA': 3.488, ' ACAP': 4.997, ' AEXP': 4.11, ' CPLx': 1.202, ' DOCU': 3.442, ' ETAT': 4.226, ' FLEx': 4.295, ' KLOC': 320.281, ' LTEx': 3.113, ' PCAP': 4.489, ' PCON': 3.533, ' PLEx': 3.852, ' PMAT': 2.167, ' PREC': 2.496, ' PVOL': 4.926, ' RELY': 1.312, ' RESL': 1.948, ' RUSE': 4.41, ' SCED': 3.0, ' SITE': 5.64, ' STOR': 3.237, ' TEAM': 3.582, ' TIME': 3.845, ' TOOL': 2.0}",0.41607641043256594,1
