iteration,config,value,elapsed_time
0,"{'DATA': 4.271, ' ACAP': 2.276, ' AEXP': 2.578, ' CPLx': 5.039, ' DOCU': 2.634, ' ETAT': 3.682, ' FLEx': 4.257, ' KLOC': 119.42, ' LTEx': 3.864, ' PCAP': 3.0, ' PCON': 2.261, ' PLEx': 3.0, ' PMAT': 1.56, ' PREC': 1.369, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 1.675, ' RUSE': 2.706, ' SCED': 1.474, ' SITE': 3.0, ' STOR': 3.177, ' TEAM': 2.958, ' TIME': 5.056, ' TOOL': 2.397}",0.5175517134279106,1
1,"{'DATA': 2.052, ' ACAP': 2.606, ' AEXP': 2.041, ' CPLx': 5.667, ' DOCU': 3.172, ' ETAT': 3.995, ' FLEx': 4.991, ' KLOC': 106.739, ' LTEx': 3.063, ' PCAP': 3.0, ' PCON': 2.893, ' PLEx': 3.0, ' PMAT': 3.345, ' PREC': 1.971, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 2.872, ' RUSE': 2.67, ' SCED': 2.749, ' SITE': 3.0, ' STOR': 4.935, ' TEAM': 2.33, ' TIME': 5.21, ' TOOL': 2.828}",0.18450988873672192,1
2,"{'DATA': 2.888, ' ACAP': 2.097, ' AEXP': 2.781, ' CPLx': 5.795, ' DOCU': 2.388, ' ETAT': 1.757, ' FLEx': 3.917, ' KLOC': 114.201, ' LTEx': 2.063, ' PCAP': 3.0, ' PCON': 2.444, ' PLEx': 3.0, ' PMAT': 2.467, ' PREC': 1.8, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 1.824, ' RUSE': 3.157, ' SCED': 1.099, ' SITE': 3.0, ' STOR': 3.977, ' TEAM': 2.907, ' TIME': 3.174, ' TOOL': 2.398}",0.4508908681164304,1
3,"{'DATA': 4.405, ' ACAP': 2.903, ' AEXP': 2.638, ' CPLx': 5.659, ' DOCU': 3.434, ' ETAT': 5.287, ' FLEx': 2.786, ' KLOC': 91.133, ' LTEx': 3.405, ' PCAP': 3.0, ' PCON': 2.257, ' PLEx': 3.0, ' PMAT': 3.033, ' PREC': 1.069, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 2.463, ' RUSE': 2.903, ' SCED': 2.409, ' SITE': 3.0, ' STOR': 4.436, ' TEAM': 2.308, ' TIME': 4.949, ' TOOL': 2.754}",0.3040119403245798,1
4,"{'DATA': 4.499, ' ACAP': 2.669, ' AEXP': 2.372, ' CPLx': 5.751, ' DOCU': 3.099, ' ETAT': 5.449, ' FLEx': 2.705, ' KLOC': 106.201, ' LTEx': 2.163, ' PCAP': 3.0, ' PCON': 2.889, ' PLEx': 3.0, ' PMAT': 1.8, ' PREC': 1.393, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 1.63, ' RUSE': 3.278, ' SCED': 2.885, ' SITE': 3.0, ' STOR': 4.385, ' TEAM': 2.08, ' TIME': 5.761, ' TOOL': 2.601}",0.4330497009536768,1
5,"{'DATA': 3.918, ' ACAP': 2.169, ' AEXP': 2.47, ' CPLx': 5.554, ' DOCU': 2.362, ' ETAT': 5.358, ' FLEx': 4.223, ' KLOC': 95.251, ' LTEx': 3.27, ' PCAP': 3.0, ' PCON': 2.265, ' PLEx': 3.0, ' PMAT': 1.158, ' PREC': 1.209, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 2.771, ' RUSE': 2.144, ' SCED': 1.312, ' SITE': 3.0, ' STOR': 4.01, ' TEAM': 2.598, ' TIME': 3.142, ' TOOL': 2.09}",0.475826201932694,1
6,"{'DATA': 2.776, ' ACAP': 2.488, ' AEXP': 2.862, ' CPLx': 5.566, ' DOCU': 3.349, ' ETAT': 1.152, ' FLEx': 3.711, ' KLOC': 122.031, ' LTEx': 3.969, ' PCAP': 3.0, ' PCON': 2.332, ' PLEx': 3.0, ' PMAT': 2.519, ' PREC': 1.316, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 2.325, ' RUSE': 3.549, ' SCED': 2.248, ' SITE': 3.0, ' STOR': 4.081, ' TEAM': 2.169, ' TIME': 5.099, ' TOOL': 2.51}",0.4077126161798368,1
7,"{'DATA': 2.129, ' ACAP': 2.373, ' AEXP': 2.26, ' CPLx': 5.376, ' DOCU': 3.051, ' ETAT': 5.642, ' FLEx': 3.842, ' KLOC': 97.927, ' LTEx': 2.524, ' PCAP': 3.0, ' PCON': 2.521, ' PLEx': 3.0, ' PMAT': 3.444, ' PREC': 1.784, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 1.592, ' RUSE': 2.448, ' SCED': 1.622, ' SITE': 3.0, ' STOR': 3.97, ' TEAM': 2.928, ' TIME': 4.171, ' TOOL': 2.197}",0.3655747784017036,1
8,"{'DATA': 2.9, ' ACAP': 2.444, ' AEXP': 2.716, ' CPLx': 5.936, ' DOCU': 2.255, ' ETAT': 2.217, ' FLEx': 2.21, ' KLOC': 101.12, ' LTEx': 2.17, ' PCAP': 3.0, ' PCON': 2.579, ' PLEx': 3.0, ' PMAT': 3.148, ' PREC': 1.942, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 1.446, ' RUSE': 2.71, ' SCED': 2.08, ' SITE': 3.0, ' STOR': 4.368, ' TEAM': 2.075, ' TIME': 3.279, ' TOOL': 2.656}",0.22999592478491848,1
9,"{'DATA': 3.594, ' ACAP': 2.604, ' AEXP': 2.269, ' CPLx': 5.651, ' DOCU': 2.86, ' ETAT': 4.559, ' FLEx': 3.883, ' KLOC': 88.379, ' LTEx': 3.37, ' PCAP': 3.0, ' PCON': 2.323, ' PLEx': 3.0, ' PMAT': 2.869, ' PREC': 1.537, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 2.344, ' RUSE': 3.246, ' SCED': 1.533, ' SITE': 3.0, ' STOR': 3.438, ' TEAM': 2.348, ' TIME': 5.776, ' TOOL': 2.011}",0.34075100110499634,1
10,"{'DATA': 4.837, ' ACAP': 2.002, ' AEXP': 2.022, ' CPLx': 5.101, ' DOCU': 3.259, ' ETAT': 1.731, ' FLEx': 4.583, ' KLOC': 115.449, ' LTEx': 2.85, ' PCAP': 3.0, ' PCON': 2.659, ' PLEx': 3.0, ' PMAT': 2.663, ' PREC': 1.216, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 2.738, ' RUSE': 3.552, ' SCED': 1.101, ' SITE': 3.0, ' STOR': 4.099, ' TEAM': 2.903, ' TIME': 3.716, ' TOOL': 2.878}",0.5261522033260697,1
11,"{'DATA': 3.409, ' ACAP': 2.123, ' AEXP': 2.152, ' CPLx': 5.361, ' DOCU': 2.481, ' ETAT': 1.878, ' FLEx': 3.264, ' KLOC': 90.78, ' LTEx': 3.799, ' PCAP': 3.0, ' PCON': 2.221, ' PLEx': 3.0, ' PMAT': 1.64, ' PREC': 1.646, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 1.838, ' RUSE': 2.352, ' SCED': 2.579, ' SITE': 3.0, ' STOR': 4.87, ' TEAM': 2.311, ' TIME': 4.184, ' TOOL': 2.344}",0.2746189208190303,1
12,"{'DATA': 4.673, ' ACAP': 2.39, ' AEXP': 2.118, ' CPLx': 5.859, ' DOCU': 2.342, ' ETAT': 3.665, ' FLEx': 3.551, ' KLOC': 82.381, ' LTEx': 3.026, ' PCAP': 3.0, ' PCON': 2.26, ' PLEx': 3.0, ' PMAT': 1.464, ' PREC': 1.369, ' PVOL': 2.0, ' RELY': 5.0, ' RESL': 1.1, ' RUSE': 2.282, ' SCED': 1.139, ' SITE': 3.0, ' STOR': 3.829, ' TEAM': 2.545, ' TIME': 3.282, ' TOOL': 2.965}",0.4799304750995611,1
