iteration,config,value,elapsed_time
0,"{'DATA': 3.906, ' ACAP': 4.131, ' AEXP': 4.709, ' CPLx': 3.97, ' DOCU': 2.069, ' ETAT': 5.46, ' FLEx': 3.1, ' KLOC': 173.11, ' LTEx': 2.131, ' PCAP': 3.154, ' PCON': 2.364, ' PLEx': 2.294, ' PMAT': 2.257, ' PREC': 1.285, ' PVOL': 3.965, ' RELY': 2.241, ' RESL': 3.228, ' RUSE': 4.863, ' SCED': 3.0, ' SITE': 5.032, ' STOR': 3.839, ' TEAM': 2.82, ' TIME': 3.423, ' TOOL': 2.0}",0.17971947459106496,1
1,"{'DATA': 4.501, ' ACAP': 3.041, ' AEXP': 4.64, ' CPLx': 3.207, ' DOCU': 3.527, ' ETAT': 2.423, ' FLEx': 1.129, ' KLOC': 293.443, ' LTEx': 3.882, ' PCAP': 4.756, ' PCON': 4.658, ' PLEx': 2.43, ' PMAT': 2.669, ' PREC': 4.149, ' PVOL': 2.706, ' RELY': 3.142, ' RESL': 3.228, ' RUSE': 3.476, ' SCED': 3.0, ' SITE': 4.252, ' STOR': 3.274, ' TEAM': 3.261, ' TIME': 3.892, ' TOOL': 2.0}",0.15986552850561275,1
2,"{'DATA': 2.3, ' ACAP': 3.042, ' AEXP': 2.957, ' CPLx': 1.665, ' DOCU': 3.555, ' ETAT': 1.911, ' FLEx': 2.956, ' KLOC': 125.787, ' LTEx': 2.534, ' PCAP': 4.205, ' PCON': 3.385, ' PLEx': 1.564, ' PMAT': 2.632, ' PREC': 2.193, ' PVOL': 4.156, ' RELY': 3.372, ' RESL': 1.762, ' RUSE': 2.97, ' SCED': 3.0, ' SITE': 3.305, ' STOR': 3.324, ' TEAM': 2.122, ' TIME': 3.541, ' TOOL': 2.0}",0.1765703948604347,1
3,"{'DATA': 2.82, ' ACAP': 4.302, ' AEXP': 4.125, ' CPLx': 2.848, ' DOCU': 4.325, ' ETAT': 3.775, ' FLEx': 3.366, ' KLOC': 172.163, ' LTEx': 2.41, ' PCAP': 3.243, ' PCON': 1.793, ' PLEx': 2.707, ' PMAT': 2.215, ' PREC': 4.087, ' PVOL': 2.811, ' RELY': 1.52, ' RESL': 3.644, ' RUSE': 4.968, ' SCED': 3.0, ' SITE': 4.137, ' STOR': 3.95, ' TEAM': 4.731, ' TIME': 3.904, ' TOOL': 2.0}",0.24057357550280256,1
4,"{'DATA': 2.507, ' ACAP': 3.583, ' AEXP': 2.861, ' CPLx': 1.856, ' DOCU': 3.708, ' ETAT': 4.996, ' FLEx': 2.505, ' KLOC': 195.472, ' LTEx': 2.236, ' PCAP': 4.65, ' PCON': 3.974, ' PLEx': 1.978, ' PMAT': 2.063, ' PREC': 2.318, ' PVOL': 2.569, ' RELY': 2.816, ' RESL': 3.583, ' RUSE': 5.906, ' SCED': 3.0, ' SITE': 2.562, ' STOR': 3.174, ' TEAM': 1.497, ' TIME': 3.056, ' TOOL': 2.0}",0.3042070341652279,1
5,"{'DATA': 4.106, ' ACAP': 3.319, ' AEXP': 3.685, ' CPLx': 3.575, ' DOCU': 3.391, ' ETAT': 1.47, ' FLEx': 1.338, ' KLOC': 318.444, ' LTEx': 3.993, ' PCAP': 3.972, ' PCON': 1.676, ' PLEx': 3.336, ' PMAT': 2.894, ' PREC': 1.349, ' PVOL': 4.357, ' RELY': 3.739, ' RESL': 2.359, ' RUSE': 2.415, ' SCED': 3.0, ' SITE': 4.527, ' STOR': 3.952, ' TEAM': 4.92, ' TIME': 3.499, ' TOOL': 2.0}",0.24965325590457021,1
6,"{'DATA': 4.939, ' ACAP': 3.015, ' AEXP': 3.347, ' CPLx': 2.386, ' DOCU': 2.105, ' ETAT': 2.002, ' FLEx': 1.825, ' KLOC': 100.305, ' LTEx': 2.394, ' PCAP': 3.575, ' PCON': 1.874, ' PLEx': 3.479, ' PMAT': 2.541, ' PREC': 2.169, ' PVOL': 2.808, ' RELY': 2.611, ' RESL': 3.488, ' RUSE': 2.815, ' SCED': 3.0, ' SITE': 1.049, ' STOR': 3.611, ' TEAM': 1.193, ' TIME': 3.223, ' TOOL': 2.0}",0.19939059701834427,1
7,"{'DATA': 2.386, ' ACAP': 4.84, ' AEXP': 3.818, ' CPLx': 3.727, ' DOCU': 2.691, ' ETAT': 4.255, ' FLEx': 4.74, ' KLOC': 321.743, ' LTEx': 2.661, ' PCAP': 4.39, ' PCON': 3.226, ' PLEx': 2.498, ' PMAT': 2.359, ' PREC': 4.492, ' PVOL': 3.31, ' RELY': 2.339, ' RESL': 4.135, ' RUSE': 4.744, ' SCED': 3.0, ' SITE': 4.135, ' STOR': 3.247, ' TEAM': 4.926, ' TIME': 3.708, ' TOOL': 2.0}",0.18790943892420886,1
8,"{'DATA': 4.24, ' ACAP': 4.483, ' AEXP': 2.885, ' CPLx': 1.254, ' DOCU': 3.488, ' ETAT': 4.251, ' FLEx': 4.497, ' KLOC': 169.728, ' LTEx': 1.925, ' PCAP': 3.845, ' PCON': 2.405, ' PLEx': 1.553, ' PMAT': 2.514, ' PREC': 3.097, ' PVOL': 3.273, ' RELY': 3.45, ' RESL': 4.343, ' RUSE': 2.066, ' SCED': 3.0, ' SITE': 3.221, ' STOR': 3.689, ' TEAM': 1.295, ' TIME': 3.305, ' TOOL': 2.0}",0.22727095175868828,1
9,"{'DATA': 3.02, ' ACAP': 4.291, ' AEXP': 4.676, ' CPLx': 3.156, ' DOCU': 3.7, ' ETAT': 4.913, ' FLEx': 1.973, ' KLOC': 294.658, ' LTEx': 1.981, ' PCAP': 3.206, ' PCON': 4.071, ' PLEx': 2.381, ' PMAT': 2.632, ' PREC': 2.831, ' PVOL': 4.25, ' RELY': 2.531, ' RESL': 1.488, ' RUSE': 5.596, ' SCED': 3.0, ' SITE': 2.88, ' STOR': 3.555, ' TEAM': 3.399, ' TIME': 3.859, ' TOOL': 2.0}",0.2373792729716473,1
