iteration,config,value,elapsed_time
0,"{'DATA': 3.848, ' ACAP': 4.367, ' AEXP': 2.588, ' CPLx': 2.558, ' DOCU': 1.782, ' ETAT': 1.866, ' FLEx': 2.108, ' KLOC': 181.635, ' LTEx': 1.613, ' PCAP': 3.412, ' PCON': 3.532, ' PLEx': 1.489, ' PMAT': 2.495, ' PREC': 1.815, ' PVOL': 4.736, ' RELY': 3.594, ' RESL': 3.227, ' RUSE': 5.456, ' SCED': 3.0, ' SITE': 3.266, ' STOR': 3.114, ' TEAM': 4.829, ' TIME': 3.612, ' TOOL': 2.0}",0.2670338565256821,1
1,"{'DATA': 4.494, ' ACAP': 3.293, ' AEXP': 2.659, ' CPLx': 1.335, ' DOCU': 4.114, ' ETAT': 3.343, ' FLEx': 3.503, ' KLOC': 278.812, ' LTEx': 1.002, ' PCAP': 4.511, ' PCON': 1.235, ' PLEx': 1.738, ' PMAT': 2.525, ' PREC': 4.108, ' PVOL': 3.952, ' RELY': 3.883, ' RESL': 2.572, ' RUSE': 2.988, ' SCED': 3.0, ' SITE': 4.162, ' STOR': 3.578, ' TEAM': 2.854, ' TIME': 3.533, ' TOOL': 2.0}",0.3909954679255422,1
2,"{'DATA': 2.708, ' ACAP': 3.859, ' AEXP': 3.443, ' CPLx': 2.082, ' DOCU': 1.625, ' ETAT': 4.466, ' FLEx': 1.932, ' KLOC': 364.501, ' LTEx': 1.249, ' PCAP': 4.575, ' PCON': 3.113, ' PLEx': 3.105, ' PMAT': 2.669, ' PREC': 3.22, ' PVOL': 3.872, ' RELY': 3.832, ' RESL': 1.516, ' RUSE': 3.751, ' SCED': 3.0, ' SITE': 3.687, ' STOR': 3.794, ' TEAM': 3.09, ' TIME': 3.694, ' TOOL': 2.0}",0.3302382334042335,1
3,"{'DATA': 2.594, ' ACAP': 4.495, ' AEXP': 3.813, ' CPLx': 2.514, ' DOCU': 2.298, ' ETAT': 5.926, ' FLEx': 1.594, ' KLOC': 280.591, ' LTEx': 1.65, ' PCAP': 4.818, ' PCON': 4.308, ' PLEx': 2.88, ' PMAT': 2.293, ' PREC': 1.54, ' PVOL': 2.789, ' RELY': 1.811, ' RESL': 2.128, ' RUSE': 5.934, ' SCED': 3.0, ' SITE': 4.057, ' STOR': 3.568, ' TEAM': 4.744, ' TIME': 3.29, ' TOOL': 2.0}",0.3470581516434168,1
4,"{'DATA': 4.562, ' ACAP': 4.495, ' AEXP': 3.799, ' CPLx': 3.525, ' DOCU': 1.956, ' ETAT': 5.65, ' FLEx': 3.546, ' KLOC': 299.581, ' LTEx': 2.868, ' PCAP': 4.518, ' PCON': 2.162, ' PLEx': 3.745, ' PMAT': 2.493, ' PREC': 3.848, ' PVOL': 3.442, ' RELY': 3.014, ' RESL': 4.665, ' RUSE': 2.49, ' SCED': 3.0, ' SITE': 1.307, ' STOR': 3.573, ' TEAM': 2.374, ' TIME': 3.487, ' TOOL': 2.0}",0.2726806901718821,1
5,"{'DATA': 3.134, ' ACAP': 4.557, ' AEXP': 3.153, ' CPLx': 2.728, ' DOCU': 4.682, ' ETAT': 4.952, ' FLEx': 3.578, ' KLOC': 176.793, ' LTEx': 2.941, ' PCAP': 4.478, ' PCON': 1.597, ' PLEx': 1.537, ' PMAT': 2.48, ' PREC': 4.255, ' PVOL': 2.378, ' RELY': 3.782, ' RESL': 1.041, ' RUSE': 4.493, ' SCED': 3.0, ' SITE': 3.751, ' STOR': 3.337, ' TEAM': 3.709, ' TIME': 3.697, ' TOOL': 2.0}",0.27785328976150947,1
6,"{'DATA': 2.659, ' ACAP': 4.389, ' AEXP': 2.837, ' CPLx': 1.342, ' DOCU': 1.29, ' ETAT': 4.971, ' FLEx': 1.988, ' KLOC': 70.811, ' LTEx': 2.677, ' PCAP': 3.797, ' PCON': 4.89, ' PLEx': 2.447, ' PMAT': 2.56, ' PREC': 2.005, ' PVOL': 3.666, ' RELY': 3.044, ' RESL': 2.151, ' RUSE': 2.816, ' SCED': 3.0, ' SITE': 2.292, ' STOR': 3.517, ' TEAM': 4.809, ' TIME': 3.306, ' TOOL': 2.0}",0.11940466491199975,1
7,"{'DATA': 3.52, ' ACAP': 4.58, ' AEXP': 2.484, ' CPLx': 2.482, ' DOCU': 1.284, ' ETAT': 2.189, ' FLEx': 3.562, ' KLOC': 163.418, ' LTEx': 3.011, ' PCAP': 3.099, ' PCON': 4.142, ' PLEx': 3.971, ' PMAT': 2.484, ' PREC': 3.63, ' PVOL': 3.111, ' RELY': 3.688, ' RESL': 1.687, ' RUSE': 5.366, ' SCED': 3.0, ' SITE': 2.62, ' STOR': 3.937, ' TEAM': 2.784, ' TIME': 3.134, ' TOOL': 2.0}",0.22946243955565027,1
8,"{'DATA': 3.863, ' ACAP': 3.901, ' AEXP': 3.983, ' CPLx': 1.326, ' DOCU': 2.329, ' ETAT': 4.367, ' FLEx': 3.898, ' KLOC': 106.091, ' LTEx': 1.517, ' PCAP': 4.322, ' PCON': 3.065, ' PLEx': 2.586, ' PMAT': 2.001, ' PREC': 2.425, ' PVOL': 3.086, ' RELY': 2.773, ' RESL': 3.698, ' RUSE': 4.954, ' SCED': 3.0, ' SITE': 5.184, ' STOR': 3.653, ' TEAM': 1.295, ' TIME': 3.487, ' TOOL': 2.0}",0.19429928094584215,1
9,"{'DATA': 3.269, ' ACAP': 3.976, ' AEXP': 2.995, ' CPLx': 1.916, ' DOCU': 3.689, ' ETAT': 4.601, ' FLEx': 4.639, ' KLOC': 30.117, ' LTEx': 3.574, ' PCAP': 3.592, ' PCON': 2.137, ' PLEx': 2.546, ' PMAT': 2.832, ' PREC': 1.942, ' PVOL': 3.448, ' RELY': 3.613, ' RESL': 3.059, ' RUSE': 5.579, ' SCED': 3.0, ' SITE': 4.677, ' STOR': 3.454, ' TEAM': 2.458, ' TIME': 3.653, ' TOOL': 2.0}",0.07978073869561997,1
